oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Prison_Jail,Not_Defined_Elsewhere,Other_Invalid_Blank,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear
106010735,106010735,010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,,NO,2e,,05 - East Bay,Alameda,General Acute Care,District,General Medical / Surgical,100,Basic,8686,6616,,,911,1385,2738,2570,2566,2123,1044,838,1011,116,,1425,2619,131,15,4124,291,6697,349,302,28,1,2,,14288,151,,,0,0,,181,1301,2319,2818,6097,2767,278,1,29,296,2,764,153,759,299,4258,1173,13,745,642,1,407,1439,899,3144,1349,81,93,5,243,23,20,193,10395,2250,75,418,36,118,3,,15302,1414,1105,,,25,87,117,235,353,311,494,896,,1,,338,288,75,3,379,13,1423,94,24,101,209,10,34,34,1316,697,,0,0,0,0,0,245,1577,521,167,9,12,34,671,,367,112,152,219,193,34,70,23,3,18,358,78,175,,,145,22,94,,6,21,4,2180,18,6,6,14,3,,,,2519,2006
106010739,106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,,NO,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,347,Basic,19279,14635,,,419,3339,7414,5816,5730,5122,2546,1529,1786,213,,2229,12868,2777,49,1961,336,13694,171,863,56,4,23,11,30413,147,1,1480,0,0,33,712,7585,5466,1935,13185,5743,1503,1,243,849,3,1680,422,1873,720,8130,2162,87,1466,1513,15,3168,2472,1605,6002,1926,170,212,21,564,28,17,252,25395,3648,278,990,227,159,27,,33914,3642,2767,,,102,452,527,696,1054,970,943,1659,6,,,439,2493,345,12,203,44,2873,120,122,266,897,309,22,10,3723,938,2,0,0,0,0,0,1043,3192,1780,357,37,156,151,1347,2,962,293,387,420,625,134,262,122,5,79,734,208,516,,6,351,64,444,12,19,7,11,5363,44,11,18,53,7,4,1,,6409,2006
106010776,106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,Level I - Pediatric,NO,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,170,Basic,20863,23085,,,25127,10600,234,90,53,35,9,5,1,7794,,1452,17343,13804,22,6787,199,4341,283,416,9,,,,43137,,,,0,0,,103,29621,18,2052,8969,3288,11,,229,56,58,2511,332,1157,4877,8723,931,29,3921,1316,99,454,8686,2371,8187,4064,191,86,3,452,5,25,485,34484,2900,254,497,5,467,30,,43948,2766,3654,,,1548,28,,,,,,,1856,2988,,298,1785,1968,2,1135,49,1183,32,15,15,13,26,,4,6313,2,,0,0,0,0,0,3525,,1924,86,885,,238,61,105,699,324,318,571,774,114,59,190,18,18,2086,306,337,4,198,176,28,105,21,7,8,33,5735,65,26,125,7,73,11,,,6420,2006
106010805,106010805,010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Level II,NO,2f,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,155,Basic,12699,10806,,,2022,2467,4140,3767,3792,2863,1289,1168,1474,523,,1446,4064,3636,89,673,50,13547,894,238,106,1,9,,22014,,1,107,0,0,,135,4759,4251,778,9383,4334,642,,67,525,3,1222,321,1292,558,6318,1740,36,1444,800,21,1295,2255,1255,3711,1738,112,185,18,577,63,83,225,16295,2602,134,1263,57,138,15,,23505,2933,2800,,,170,465,476,705,848,716,801,1549,2,1,,455,606,655,14,112,11,3880,255,95,251,421,303,14,114,3362,907,11,0,0,0,0,0,841,2989,1191,572,140,98,51,999,3,637,213,319,282,1349,126,150,108,17,332,630,97,321,1,,568,42,275,169,18,32,21,3910,126,38,432,75,21,4,2,,5733,2006
106010844,106010844,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,,NO,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,,0,0,0,0,0,1,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,2,2006
106010846,106010846,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,Level II,YES,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,236,Basic,15729,19921,,,254,1948,8139,6899,8247,6882,2294,550,363,74,,2034,16454,8375,95,3478,86,5128,930,3466,176,2,2,,31011,43,,,0,0,,20,7695,2058,17860,1703,6334,348,,103,1208,14,1561,984,1874,787,4718,3891,147,1437,4922,3,940,2404,2702,7607,907,65,147,17,1342,96,155,116,30200,1468,91,794,113,90,49,,35650,2917,4227,,,254,1006,979,1552,1726,871,402,353,1,,,733,3181,1522,30,473,11,1194,217,149,207,93,334,13,68,5579,375,109,0,0,0,0,0,3104,1209,378,2309,144,119,118,1088,5,912,305,220,349,1327,181,259,124,229,434,591,399,483,1,,251,66,239,509,93,255,25,5054,108,31,411,54,13,32,3,,7144,2006
106010856,106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,,NO,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,346,Basic,20003,16430,12,,2841,3531,5557,5345,5507,5443,3132,2298,2258,533,,1639,10487,2860,10,674,14734,6041,551,410,21,,,,34896,108,,,0,0,,459,1276,4803,3305,23487,3574,367,,185,797,10,1436,548,1326,489,10966,2158,83,1130,3021,11,1226,1958,1143,9591,737,7,5,14,304,,,91,34103,183,46,910,21,15,9,,36445,4492,3602,1,1,226,315,493,706,1214,1264,1521,2142,71,144,,808,3366,653,22,386,23,2838,310,45,298,359,20,1,72,6060,931,,0,0,0,0,0,77,4474,3304,210,31,177,113,1808,8,1081,427,578,351,776,203,297,150,11,114,933,239,812,,18,454,36,659,27,8,,20,6712,98,8,41,17,12,,4,,8096,2006
106010858,106010858,010858,KAISER FND HOSP - HAYWARD,27400 HESPERIAN BOULEVARD,HAYWARD,94545,,NO,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,210,Basic,17862,13674,2,,2676,2563,4357,4363,4790,4127,2648,2598,2686,730,,4095,4322,7224,151,1932,5209,8605,345,403,39,40,34,32,29752,206,8,276,0,0,246,157,1755,6266,364,20706,2447,383,,163,1014,5,1998,637,1582,517,4255,1596,57,1075,1477,5,1285,2382,734,12373,608,5,3,7,149,,,30,30131,130,8,438,10,5,14,,31538,3292,2832,1,,145,264,338,588,913,934,1186,1467,85,205,,934,788,1139,19,75,70,3100,300,65,303,320,44,6,99,3999,985,4,0,0,0,0,0,188,3074,2778,74,11,114,67,1195,3,1083,252,357,430,607,97,167,69,17,70,865,149,562,2,19,292,41,520,14,25,,15,5084,69,7,19,29,9,1,,,6125,2006
106010937,106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,94609,,NO,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,337,Basic,18020,12545,,,208,1610,5924,5208,6093,5043,2534,1797,2110,38,,1958,13835,8832,27,1186,253,4474,301,760,90,5,23,42,28020,578,,365,0,0,7,374,10201,6396,1999,6526,5443,808,2,177,787,1,1714,795,1895,827,6718,2190,64,1219,1266,1,1505,3004,1751,5841,1547,103,198,20,629,8,1,197,24226,2478,81,878,58,136,5,,30565,4433,3526,,,32,227,488,906,1230,1108,1474,2494,,,,1276,3908,442,10,217,41,2065,61,123,359,1338,112,16,64,4043,1843,,0,0,0,0,0,1435,5004,1012,406,102,23,190,1921,2,1012,502,441,552,679,172,265,91,7,85,1118,199,700,,,397,85,374,21,17,3,10,6960,53,3,12,13,8,1,2,,7959,2006
106010967,106010967,010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,,NO,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,141,Basic,16664,13327,1,,4691,3387,6122,4784,4355,2476,1221,830,701,1425,,2562,5782,10607,126,4379,,6536,158,434,48,1,2,,28184,,,,0,0,1,1164,13560,2973,1106,12353,,1020,,63,324,3,1249,527,1669,1170,6675,1483,22,2385,1431,87,870,3727,1666,5621,1881,71,227,15,575,78,2,211,22375,3377,96,835,80,151,18,,29992,2868,2156,,,48,299,408,753,921,764,817,1014,,,,1101,806,993,6,122,,1996,125,116,182,58,69,,175,3435,859,5,0,0,0,0,0,1393,2248,696,629,58,86,53,975,3,855,254,254,371,335,104,108,60,19,57,834,115,541,,,162,50,314,7,23,29,37,4254,61,2,9,41,24,10,1,,5024,2006
