oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Childrens_or_Cancer_Center,Prison_Jail,Not_Defined_Elsewhere,Other_Invalid_Blank,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear
106010735,106010735,010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,,NO, 2e,, 05 - East Bay, Alameda,General Acute Care,District,General Medical / Surgical,100,Basic,8184,6251,,,790,1299,2723,2292,2339,2076,1137,734,949,96,,1481,2853,147,9,3078,133,6734,297,312,42,,,,13451,203,,,0,,0,,130,1252,2591,2758,5310,2524,249,,44,256,2,710,164,719,246,4122,771,16,1043,567,2,430,1424,827,2843,1235,63,95,9,218,10,8,182,9966,1948,114,402,54,130,1,,14435,1278,1008,,,20,87,93,204,310,308,426,838,,,,367,312,120,,167,14,1306,90,29,102,202,17,25,27,1108,684,2,0,0,0,0,0,240,1436,449,156,5,12,55,497,,351,92,125,231,160,35,60,34,2,21,339,94,178,,,130,8,50,,9,50,9,1998,10,1,3,11,6,1,,,2286,2008
106010739,106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,,NO, 2b,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,347,Basic,20957,14591,,,462,2428,7881,6127,5870,5779,3211,1722,1873,195,,2255,13857,2927,57,2405,242,13805,210,141,29,4,7,3,33946,131,,1052,0,11,0,14,,8157,5855,2093,13979,5464,1867,,262,836,1,1595,513,2035,859,8051,2518,79,1892,1399,17,2209,2836,1632,6947,2168,176,211,13,548,92,7,293,26965,3557,329,902,120,157,10,,35548,3874,2873,,,79,487,547,733,1108,1064,991,1736,2,,,494,2618,414,8,256,36,2921,108,140,241,1134,343,35,28,3784,933,1,0,0,0,0,0,1005,3075,2241,364,62,202,191,1309,,1016,373,402,441,567,155,213,231,7,105,796,241,497,,1,371,51,560,15,46,18,18,5475,94,8,26,41,17,5,2,,6747,2008
106010776,106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,Level I - Pediatric,NO, 2c,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,190,Basic,20020,22816,,,25087,9678,247,87,50,31,11,1,1,7642,1,2171,15207,15110,17,5964,228,4139,329,564,11,,,,41871,,,,0,,0,,61,29422,24,1937,8342,3111,54,,213,50,74,2849,309,1177,3089,8523,998,51,3714,630,515,399,7292,2297,10602,2898,172,65,9,262,74,166,430,34151,3596,194,340,12,429,38,,42836,3212,4202,,,1757,35,,1,,,,,2117,3504,,442,1734,2615,2,1225,43,1353,62,20,13,5,32,,2,7275,4,1,0,0,0,0,0,3673,7,2092,99,1543,2,298,61,118,783,335,400,464,1001,150,71,258,25,26,2252,344,456,2,368,202,35,178,42,2,3,41,6588,82,21,112,15,79,13,1,,7414,2008
106010805,106010805,010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Level II,NO, 2f,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,155,Basic,13549,11090,,,1932,2479,4475,3738,4005,3058,1537,1170,1758,486,1,1674,4680,3945,83,676,48,13533,771,285,95,2,16,,22937,,2,484,0,,0,,47,5247,4783,721,9097,4791,764,,126,408,5,1125,290,1366,648,6171,1554,20,2039,730,32,1414,2277,1366,4304,1812,126,216,14,610,43,9,215,17951,2124,120,1103,123,145,28,,24639,2756,2716,,,139,445,402,664,824,691,787,1514,6,,,465,700,668,10,86,3,3540,191,77,254,470,343,10,131,3057,923,16,0,0,0,0,0,858,2938,1096,452,128,119,59,819,1,643,199,299,523,1188,94,109,130,19,287,647,109,221,1,5,511,50,346,146,28,18,16,3773,111,27,353,65,16,11,1,,5472,2008
106010846,106010846,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,Level II,YES, 2c,, 05 - East Bay, Alameda,General Acute Care,City and/or County,General Medical / Surgical,236,Basic,28207,34700,,,498,3238,13789,11559,14463,13007,4668,1051,492,140,2,4322,28759,16378,191,3970,103,9184,1905,367,152,2,4,1,60097,228,,,0,,0,,151,12881,3658,17738,3119,25511,900,1,174,1434,12,2475,1154,2831,1048,8490,6376,161,2752,11769,4,2343,3523,3677,13783,2039,96,144,31,2351,75,154,207,52331,3182,242,1597,177,181,100,,62907,3057,4506,,,239,968,960,1509,1961,1047,478,398,3,,,809,3471,1563,27,385,15,1293,237,135,221,46,413,1,114,5734,541,121,0,0,0,0,0,3267,1429,326,2371,170,117,85,1094,2,956,350,349,357,1343,163,240,167,120,540,762,340,575,2,1,295,75,279,452,68,314,29,5472,104,42,344,54,15,16,4,,7563,2008
106010856,106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND, 94611-5693,,NO, 2b,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,341,Basic,18719,14719,2,,2640,3176,5305,4972,4581,4824,3168,2071,2246,456,1,2931,13092,4761,45,1053,1668,9890,55,552,35,17,31,7,32039,47,11,272,14,72,0,237,51,2243,5354,293,22014,3536,397,,187,677,8,1162,556,1369,393,9207,1969,42,1111,1987,13,1131,1919,1123,10189,427,9,6,6,242,10,,129,31807,117,19,645,7,9,7,,33440,3923,3159,,,173,271,378,584,1099,1096,1300,1927,69,185,,734,2995,647,9,109,36,2552,263,61,270,185,122,15,46,5309,809,2,0,0,0,0,0,345,3591,3006,119,21,60,132,1529,2,1006,396,477,329,770,159,230,187,11,104,790,240,647,,13,456,35,552,21,22,,21,5765,112,17,43,21,16,,1,,7082,2008
106010858,106010858,010858,KAISER FND HOSP - HAYWARD,27400 HESPERIAN BOULEVARD,HAYWARD,94545,,NO, 2g,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,210,Basic,15744,11378,4,,2119,2275,3788,3787,3980,3718,2314,2083,2355,706,1,3831,4429,7227,74,1219,2457,7889,181,416,39,25,32,76,25315,229,11,271,58,63,0,231,179,1770,5673,139,17593,1951,519,,181,918,8,1764,618,1816,348,3293,1233,52,1152,613,19,1138,1960,575,10919,851,58,142,14,195,4,,55,24582,629,29,429,52,64,22,,27126,3205,2683,,,152,268,316,503,818,836,1149,1555,102,189,,927,797,1132,28,47,12,2945,289,64,268,338,38,105,140,3683,963,,0,0,0,0,0,212,3044,2543,82,7,120,74,1107,4,1078,272,319,459,523,81,167,107,12,81,905,142,415,1,21,290,30,405,7,11,,13,4980,88,4,15,31,8,3,3,,5888,2008
106010937,106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,94609,,NO, 2m,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,337,Basic,18590,12511,,,198,1430,5724,5188,5755,5793,2969,1808,2190,44,2,2666,18819,1860,46,1515,287,5908,412,394,65,6,5,18,29430,187,,568,0,2,0,9,5,10707,6424,1624,6806,5540,747,2,208,1004,2,1491,603,1915,635,5697,2446,73,1895,1286,1,1473,3284,1648,6691,1707,75,186,28,671,25,6,163,24625,2416,99,896,54,109,41,,31101,4276,3588,,,26,239,458,777,1382,1267,1350,2365,,,,1383,3874,409,14,194,59,1931,106,140,332,1081,140,11,42,4235,1776,1,0,0,0,0,0,1423,4270,1652,394,125,18,206,1737,7,990,499,408,591,627,157,232,178,9,106,1163,203,733,,,327,96,416,19,11,11,11,6843,48,7,19,30,21,3,2,,7864,2008
106010967,106010967,010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,,NO, 2g,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,141,Basic,17546,13579,,,4859,3439,6268,5000,4307,2893,1606,861,735,1157,,2252,6762,10697,51,4729,,6634,227,1174,52,,,,28938,207,,405,1,83,0,16,22,14522,3165,944,7383,5111,1132,,84,375,7,1317,419,1719,1275,5954,1936,34,1972,1616,77,1149,3615,1744,6700,1962,74,285,8,520,5,2,205,23946,2993,93,756,80,184,12,,31125,2998,2308,,,85,275,393,642,985,851,899,1175,1,,,1117,872,1031,3,169,,2114,151,91,162,201,65,27,136,3516,950,7,0,0,0,0,0,1487,2472,656,639,52,97,54,972,1,805,312,248,418,425,115,130,105,16,68,848,143,548,,1,228,40,300,10,21,53,14,4444,94,7,16,25,47,6,1,,5306,2008
106010987,106010987,010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,,NO, 2l,, 05 - East Bay, Alameda,General Acute Care,District,General Medical / Surgical,337,Basic,21021,17649,,,5368,3969,6165,5516,5596,4271,2388,1964,2032,1401,,2188,1323,3093,17,2018,143,29888,284,220,68,17,5,,37391,243,,438,0,4,0,,,12011,6124,1996,11038,7501,1122,,103,1004,16,1896,522,1689,1040,8531,2231,48,2725,1522,64,1881,3721,1535,9020,2708,197,281,10,488,41,14,291,29360,3921,157,851,87,246,18,,38670,3560,2849,,,89,250,347,613,820,988,1244,1869,78,111,,1612,314,723,8,80,6,3666,139,64,318,665,120,6,118,3841,1138,,0,0,0,0,0,894,3780,1369,321,45,46,107,1496,2,1043,318,381,460,552,118,186,144,6,70,986,150,331,,13,370,52,502,11,44,28,15,5211,97,9,20,27,16,6,1,,6409,2008
