oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Childrens_or_Cancer_Center,Prison_Jail,Not_Defined_Elsewhere,Other_Unknown,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear,a_English,a_Spanish,a_All_Other,English,Spanish,All_Other
106010735,106010735,010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,,NO,2e,,05 - East Bay,Alameda,General Acute Care,District,General Medical / Surgical,100,Basic,7207,5464,,,816,1265,2269,1924,2078,1795,964,626,845,89,,1204,2599,160,6,3102,257,5343,248,223,17,,,4,11997,99,,,0,,2,,81,1240,2143,2685,4491,2112,237,2,29,205,1,567,164,548,292,3463,820,9,729,559,1,342,1385,597,2721,1048,60,50,7,200,18,7,146,8877,1670,112,370,18,87,1,,12671,1370,1030,,,14,78,112,207,362,350,415,862,,,,429,319,176,,234,33,1209,89,38,90,183,5,11,27,1213,743,1,0,0,0,0,0,341,1443,454,156,6,11,51,529,2,393,89,142,236,173,30,43,35,1,29,387,76,173,,,149,8,55,1,16,71,3,2068,12,,2,10,5,,,,2400,2009,2184,28,188,12196,111,364
106010739,106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,,NO,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,347,Basic,20866,14517,,,549,2437,8234,5931,5604,5655,3293,1634,1852,194,,2401,13126,3134,76,2438,331,13877,182,212,35,2,12,25,33727,86,,1076,0,20,0,6,,7984,5543,2042,14065,5749,1872,,180,755,1,1624,462,1972,954,8338,1943,44,2145,1338,25,2067,3031,1555,7077,2235,167,239,18,548,40,41,311,26362,3699,370,1030,140,168,15,,35383,3952,2957,,,86,500,578,697,1138,1153,991,1761,5,,,561,2576,448,2,238,41,3043,102,116,226,1007,372,32,28,4067,959,,0,0,0,0,0,1058,3043,2337,414,57,232,208,1311,3,1035,301,376,550,691,166,194,223,5,108,772,230,499,,5,372,67,578,13,22,17,10,5636,84,25,18,41,20,4,2,,6909,2009,6577,183,149,34170,827,386
106010776,106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,Level I - Pediatric,NO,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,190,Basic,22484,25495,1,,28747,11017,249,78,45,27,10,,,7807,,2462,16144,18561,27,6386,202,4198,387,796,7,,,,46756,,,,0,,0,,34,33788,39,2189,8403,3561,54,,238,56,83,2906,306,1121,4098,8602,1232,59,4046,666,431,402,8839,1964,12877,3090,161,90,14,271,4,63,446,39406,3508,190,320,19,369,29,,47980,3168,4249,,,1834,55,,,,,,,1908,3620,,526,1656,2634,6,1239,38,1318,53,17,27,3,32,,2,7276,6,1,0,0,0,0,0,3872,17,2032,90,1406,,317,84,75,718,322,344,378,1061,123,82,289,49,26,2457,369,424,,299,182,33,229,34,3,9,20,6543,105,13,116,7,112,11,,,7417,2009,5238,1829,350,32311,13693,1976
106010805,106010805,010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Level II,NO,2f,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,155,Basic,15486,11281,,,2355,2846,4869,4013,4186,3306,1831,1116,1685,560,,1797,5286,5017,83,690,30,13864,824,297,93,,21,,24984,,6,515,0,,0,,27,6511,4955,669,9178,5454,720,,134,497,3,1207,353,1474,883,6252,1444,39,2513,731,23,1443,3055,1425,4571,1813,110,184,9,545,94,7,191,20190,2194,120,1076,109,105,20,,26767,2993,2824,,,160,518,423,689,881,797,818,1530,1,,,493,789,809,16,87,3,3620,231,120,256,502,357,,168,3173,991,19,0,0,0,0,0,1049,3072,1075,495,126,98,76,896,4,646,233,330,623,1232,98,132,165,19,299,608,120,237,,1,531,71,387,152,38,18,17,3965,102,39,346,112,29,9,1,,5817,2009,5306,230,281,24840,1290,637
106010846,106010846,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,Level II,YES,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,236,Basic,32052,38196,,,616,3486,16049,13075,15623,14329,5309,1160,485,116,,5113,31602,18333,231,4678,63,10228,1839,600,150,2,7,6,67162,218,,,0,,0,,264,15903,4157,31041,2507,16640,1095,,175,2492,27,3309,1894,3489,1515,9520,7710,238,4201,7357,13,2883,4626,3971,15733,2679,98,212,40,2525,365,266,297,57600,3762,319,1596,166,185,137,1,70248,3117,4331,,,191,970,1066,1467,1853,1126,419,354,2,,,831,3188,1659,25,424,7,1314,222,113,215,91,362,,142,5646,539,118,0,0,0,0,0,3192,1379,352,2408,117,89,87,1034,7,1034,393,363,307,1182,180,256,171,118,689,702,303,532,1,,300,68,252,341,46,284,21,5610,104,32,310,54,11,11,4,,7448,2009,5871,1035,542,55008,11416,3824
106010856,106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,,NO,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,341,Basic,36937,28175,3,,5628,6356,9688,8641,9459,9371,6212,4135,4623,1002,,5740,27221,11213,146,1950,1811,17034,354,818,65,36,27,11,62359,114,26,465,11,5,0,454,370,7414,11231,152,37524,8794,704,1,360,1773,15,2721,1007,2578,1422,15638,4317,103,2781,3443,30,2138,5207,2436,18441,666,77,106,5,494,51,,259,61895,195,27,1249,43,7,41,,65115,4617,3771,1,,194,374,465,716,1312,1399,1527,2203,50,149,,904,3433,848,22,92,33,3057,273,61,339,373,186,23,54,5990,1089,1,0,0,0,0,0,429,4215,3525,209,11,60,195,1749,1,1302,407,519,660,753,194,298,238,11,140,1053,289,511,1,8,432,57,733,18,55,,39,6826,128,15,28,27,25,4,2,,8389,2009,7743,335,311,59035,4357,1723
106010858,106010858,010858,KAISER FND HOSP - HAYWARD,27400 HESPERIAN BOULEVARD,HAYWARD,94545,,NO,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,210,Basic,34657,27865,1,,7072,6821,8284,8211,8379,7963,5413,4490,4638,1252,,11244,8794,16072,207,2079,3068,21059,372,879,77,77,47,76,59574,438,59,566,41,3,0,252,62,4349,11806,259,41545,4564,1057,1,324,1929,19,3409,1308,3212,1166,13636,3394,111,3822,1287,56,2176,5902,2194,17520,4540,263,756,28,590,69,,479,47270,6138,193,1585,144,404,64,,62523,4967,4121,,,216,424,579,829,1278,1407,1817,2296,77,165,,1609,946,1586,30,112,12,4793,462,81,368,824,78,7,229,5645,1393,1,0,0,0,0,0,315,4824,3732,211,6,111,174,1815,4,1660,429,531,859,809,128,216,160,15,97,1284,229,554,2,11,449,55,634,6,23,,18,7694,117,8,24,46,12,1,1,,9088,2009,8336,400,352,55007,5058,2458
106010937,106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,94609,,NO,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,337,Basic,18457,12595,,,209,1462,5737,5030,5569,5859,3032,2012,2114,28,,2575,18662,1941,65,1626,312,5871,397,210,55,5,2,10,29512,155,,700,0,,0,2,4,10510,6389,1706,6729,5718,860,2,280,885,5,1429,607,1734,799,6179,2099,36,1860,1098,,1587,2987,1541,7064,1799,82,159,12,643,20,2,218,24355,2585,98,883,51,136,9,,31052,4396,3799,,,33,276,424,804,1446,1440,1477,2295,,,,1404,3979,442,17,198,64,2091,79,135,332,1075,190,10,44,4496,1832,2,0,0,0,0,0,1499,4451,1713,434,98,18,231,1841,2,1009,518,389,736,660,162,227,208,10,101,1185,196,702,,,382,96,510,10,14,12,7,7055,51,5,12,24,9,8,,,8195,2009,7057,196,942,29218,640,1194
106010967,106010967,010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,,NO,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,141,Basic,18284,14088,,,5191,3895,6769,4903,4169,3183,1484,834,710,1234,,2560,6820,11548,32,4564,2,6846,219,1018,45,1,,,30261,197,,499,0,127,0,,5,15481,3432,1393,4381,7685,1076,,49,342,5,1334,380,1705,1362,5818,2033,25,1931,1493,93,1157,4631,1529,7409,1874,62,190,17,512,1,3,185,25662,2792,95,746,81,142,10,,32372,3048,2269,,,75,298,382,641,964,946,906,1102,3,,,1144,855,1011,2,120,,2185,168,115,161,203,58,25,177,3477,928,5,0,0,0,0,0,1492,2422,611,729,63,106,51,1059,5,815,317,269,428,399,136,104,90,16,87,739,124,569,,3,194,55,302,7,21,79,18,4468,76,1,12,28,46,9,1,,5317,2009,4227,495,595,26204,5130,1038
106010987,106010987,010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,,NO,2l,,05 - East Bay,Alameda,General Acute Care,District,General Medical / Surgical,359,Basic,23221,18796,,,6345,4677,6476,6022,5720,4530,2570,2066,2258,1352,1,3787,3529,6484,49,5344,199,22625,237,269,67,43,4,,40549,289,,484,0,7,68,,,14839,6872,2330,11615,6361,1268,,98,1061,2,2130,652,1963,1339,8602,1997,41,3313,1432,84,2095,5036,1617,9287,2817,209,268,10,439,55,7,316,32675,3722,163,969,121,232,14,,42017,3683,3102,,,126,239,317,600,926,969,1318,2060,82,148,,1805,408,830,7,199,15,3521,147,77,298,774,138,,160,3867,1322,2,0,0,0,0,0,953,4111,1341,340,40,48,97,1606,6,1038,370,423,452,621,102,173,126,7,78,1057,193,368,1,19,416,44,683,3,50,39,13,5324,122,15,18,40,15,2,1,,6785,2009,6173,146,466,39632,1414,971
