oshpd_id9,oshpd_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Childrens_or_Cancer_Center,Home_Health_Service,Not_Defined_Elsewhere,Other_Care,Hospice_Care,Critical_Access_Hospital,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Invalid,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_sex_Other,a_Sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Dx_Invalid,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Congenital_anomalies,a_Dx_Perinatal_disorders,a_Dx_Births,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Natural_Environment,a_EC_Undetermined,a_EC_War,a_EC_Fire_Accidents,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear
106010735,010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,,NO,2e,,05 - East Bay,ALAMEDA,General Acute Care,District,General Medical / Surgical,100,Basic,6740,5053,1,,799,1038,2210,1811,1912,1566,1000,553,838,67,,1097,2374,167,11,2852,178,5115,232,94,34,13,25,25,2,11252,117,,,,,,,1167,2160,2588,4008,1871,188,1,30,195,1,543,144,533,200,3241,888,9,617,545,1,338,1211,571,2538,,971,57,44,3,149,8,26,125,8214,1692,79,322,9,94,1,,11794,397,11173,224,1323,939,,,15,87,117,197,259,376,380,831,,,,361,277,175,250,22,1177,,85,31,85,159,15,46,32,1117,692,,0,0,0,0,0,0,307,1431,5,395,124,11,41,460,357,76,123,277,189,31,33,32,2,26,369,84,151,,,,156,8,52,2,9,83,1930,7,1,3,6,5,,,,,2262,214,1978,70,2010
106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,,NO,2b,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,347,Basic,20805,14054,,,561,2398,8023,5771,5378,5448,3432,1767,1865,216,,2209,13046,3165,61,2430,285,13663,205,237,23,5,,1101,56,33028,152,25,3,11,13,,,8273,5726,2129,12807,5924,1873,,194,798,4,1571,439,1962,713,8140,1636,41,2630,1510,29,2236,2564,1469,7049,1,2316,179,290,13,513,41,126,352,25761,3665,320,969,140,165,9,,34859,410,33551,898,4068,2913,,,93,493,588,682,1112,1229,1015,1764,5,,,534,2574,404,287,30,3142,10,61,104,186,1016,318,38,42,4141,1073,2,0,0,0,0,0,0,903,3144,36,2452,446,211,227,1216,967,357,407,614,736,171,166,245,4,98,768,247,539,3,5,,403,71,618,7,25,179,5474,90,11,17,38,18,21,8,1,,6981,167,6653,161,2010
106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,Level I - Pediatric,NO,2c,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,190,Basic,19965,22657,1,,25730,9546,265,81,47,30,7,1,,6916,,2170,13892,16547,37,5824,235,3918,359,912,5,44,,,,41303,,,,,,,,30247,20,1811,7174,3371,21,,55,34,8,996,50,599,220,6621,2166,12,2633,1351,169,379,1977,913,24419,,3070,190,63,18,292,6,37,482,34205,3246,202,370,22,391,29,,42623,1584,29562,11477,3245,4263,,,1770,80,,1,,,,,1981,3676,,450,1631,2806,1263,53,1298,7,67,15,10,,34,,,7378,4,,0,0,0,0,0,0,4106,20,1401,1910,71,,331,75,718,265,322,401,1069,107,69,287,39,28,2633,346,445,91,280,2,249,45,214,26,3,149,6473,94,34,105,9,81,15,9,,2,7508,229,5439,1840,2010
106010805,010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Level II,NO,2f,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,155,Basic,15495,11805,,,2149,2581,4991,4192,4244,3773,1832,1150,1795,593,,1818,5506,5566,112,567,16,13715,946,330,102,22,251,606,,25030,,,6,,2,5,,7140,5298,707,8494,5661,778,,109,529,1,1174,338,1567,747,6200,1475,37,2615,636,29,1625,2805,1435,5200,,1840,130,157,10,561,96,64,213,20778,2126,168,894,143,105,15,,27300,542,25519,1239,3254,3048,,,137,448,426,769,1036,871,889,1720,6,,,577,852,838,89,,3927,19,276,94,237,714,196,33,166,3387,1172,27,0,0,0,0,0,0,1041,3398,140,1137,586,107,97,1081,695,270,319,634,1187,142,144,128,5,339,642,147,354,6,4,1,539,74,453,132,44,122,4338,114,42,337,58,27,16,4,,2,6302,290,5750,262,2010
106010846,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,Level II,YES,2c,,05 - East Bay,ALAMEDA,General Acute Care,City and/or County,General Medical / Surgical,236,Basic,32177,37030,,,559,3241,15539,13055,15114,14446,5620,1043,458,131,1,5190,30848,17885,223,4926,63,10072,1794,344,134,125,520,,4,66034,242,,1,,9,,,16828,3935,32438,1669,14337,1408,,174,2263,33,3478,1796,3604,1237,8862,8530,241,4558,6518,13,2767,4115,3825,15785,,2669,122,183,42,2269,122,165,308,56993,3916,290,1588,202,211,127,,69207,3561,54371,11275,3281,4656,,,233,1048,1100,1509,2083,1224,413,326,1,,,846,3535,1778,445,12,1294,27,255,131,192,99,357,4,143,6174,483,99,0,0,0,0,0,0,3458,1353,109,357,2660,141,84,1114,1139,433,365,397,1175,142,291,192,132,598,753,407,568,6,,,277,63,315,390,61,327,6003,73,34,287,57,8,22,19,,1,7937,538,6287,1112,2010
106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,,NO,2b,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,341,Basic,38729,29986,4,,6183,6194,10030,9065,9962,10125,6790,4484,4759,1126,1,6090,29675,11464,172,1954,1754,17610,344,929,57,143,18,534,12,66081,140,,30,327,36,52,16,9164,12248,239,37489,9579,1193,3,513,1963,13,2929,1375,2939,1133,16357,4745,89,3376,3016,66,2387,5572,2629,18421,,5188,281,537,31,942,197,253,600,50478,7035,379,2203,119,416,60,,68719,1632,62814,4273,5055,4093,1,,236,352,515,793,1222,1586,1718,2450,94,183,,1060,3577,1012,102,38,3348,12,385,78,344,814,101,8,119,6122,1177,1,0,0,0,0,0,0,472,4882,26,3516,253,95,189,2016,1390,472,458,1033,850,195,245,235,19,135,950,267,574,4,15,7,483,60,795,12,41,407,7104,115,13,25,38,15,30,9,,2,9149,322,8445,382,2010
106010858,010858,KAISER FND HOSP - HAYWARD/FREMONT,27400 HESPERIAN BOULEVARD,HAYWARD,94545,,NO,2g,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,210,Basic,35582,29609,1,,7919,7134,8049,7968,8613,8433,5882,4612,5190,1392,,12193,9660,16708,211,1648,2459,22313,413,612,75,72,15,640,112,62444,366,2,106,148,62,75,50,5648,12831,517,41245,4951,977,,282,1978,15,3645,1257,3338,1025,15604,3545,88,4410,1485,58,2116,6042,2399,16928,,5030,250,749,16,545,97,245,537,47603,7496,242,1713,174,455,40,,65192,2003,58565,4624,4720,4219,,,189,365,506,849,1234,1511,1763,2318,61,143,,1628,917,1514,96,20,4745,19,540,98,316,1250,58,6,166,5154,1348,3,0,0,0,0,0,0,321,4904,16,3538,160,121,108,1735,1687,398,484,1237,810,120,174,138,9,86,1118,189,504,12,9,,395,78,727,10,33,303,7177,127,10,18,28,6,23,4,,,8939,347,8214,378,2010
106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,94609,,NO,2m,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,337,Basic,18930,13489,,,196,1438,5816,5178,5973,6072,3591,1986,2122,47,,2695,19674,2080,42,1497,258,6173,318,238,74,1,,813,8,30758,184,3,2,14,6,,,11093,6717,1694,6568,6347,881,,277,900,1,1434,521,1778,710,6166,2555,41,2065,1135,,1839,2761,1548,7807,,1791,116,201,20,643,38,31,180,25580,2570,103,946,87,109,4,,32419,1385,30258,776,4609,3840,,,33,257,495,781,1432,1518,1554,2379,,,,1500,4086,500,159,72,2114,18,94,151,272,1284,183,13,59,4436,1957,,0,0,0,0,0,0,1483,4534,97,1876,459,26,211,1879,995,595,432,790,665,162,225,216,9,106,1154,220,757,7,,,367,116,541,16,23,113,7125,64,6,16,24,16,14,5,,3,8449,1071,7134,244,2010
106010967,010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,,NO,2g,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,141,Basic,16910,12624,,,4389,3337,6143,4358,3957,3126,1517,930,762,1015,,2237,5944,8896,30,6078,,6349,186,887,48,3,300,542,3,27145,225,178,6,6,5,,,14121,3500,1229,3607,7077,1216,,60,452,1,1420,443,1824,1160,5273,2086,36,1851,1396,78,1133,4091,1380,5634,,1744,98,191,16,430,13,39,191,23159,2592,88,756,75,120,22,,29534,945,24504,4085,2964,2397,,,53,262,339,606,1054,1034,900,1113,,,,1207,823,1071,82,,2176,2,211,143,138,253,61,,133,3333,1087,2,0,0,0,0,0,0,1583,2488,30,584,676,82,65,1059,884,332,226,478,352,109,96,111,16,74,716,134,627,,,,180,41,309,8,21,113,4516,66,1,9,23,48,15,10,,1,5361,588,4285,488,2010
106010987,010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,,NO,2l,,05 - East Bay,ALAMEDA,General Acute Care,District,General Medical / Surgical,359,Basic,23583,18656,,,6330,4157,6713,5947,6010,4610,2651,2158,2382,1280,1,4886,4965,7978,55,7949,109,16297,221,335,77,,280,599,,40170,438,9,110,,,,,15946,7167,2245,10464,6417,1108,,108,1078,3,2174,645,2013,1109,8595,2072,42,3526,1723,75,2229,4783,1792,9164,,3000,233,254,16,459,50,7,295,32486,3862,141,1056,151,213,16,,42239,1080,39674,1485,3989,3448,,,116,236,364,670,979,1130,1398,2275,130,139,,2083,490,951,311,3,3591,8,138,80,326,974,127,1,174,4164,1452,1,0,0,0,0,0,0,1015,4473,47,1472,430,51,109,1631,1236,367,506,520,646,124,157,172,12,68,1125,223,455,8,27,,455,53,690,5,46,86,5915,111,4,16,41,8,6,1,,,7437,555,6679,203,2010
