oshpd_id9,oshpd_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Childrens_or_Cancer_Center,Died,Home_Health_Service,Hospice_Care,Other_Care,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Not_Defined_Elsewhere,Critical_Access_Hospital,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Invalid,Dx_Births,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_Dx_Invalid,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear
106010735,010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,,NO,16,9,2e,,05 - East Bay,Alameda,General Acute Care,District,General Medical / Surgical,100,Basic,7312,5457,,,759,1127,2418,1963,1904,1776,1203,654,891,74,,1212,2719,176,20,2923,331,5388,189,267,2,27,33,9,6,4,91,166,11,11769,195,,,1051,2554,2726,4100,2338,261,42,207,2,646,145,634,210,3242,871,10,760,603,3,476,1198,650,2809,,,1019,71,68,3,172,13,19,128,8985,1669,92,390,37,101,2,,12769,521,11921,327,1362,1096,,,15,110,115,202,381,402,401,832,,,,419,363,152,241,20,1263,,103,31,80,146,21,11,15,1291,760,,0,0,0,0,0,372,1519,11,399,157,15,53,417,2,365,101,151,281,163,40,33,41,4,38,426,107,221,,,,123,10,67,2,16,71,2,2131,8,3,5,15,4,1,,,2458,272,2115,71,2011
106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,,NO,14,9,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,347,Basic,20915,14610,,,574,2360,8554,5744,5120,5391,3723,1855,1967,237,,2406,12898,3348,67,2560,252,13994,196,302,22,31,9,,6,4,,1031,52,33639,172,61,,8302,5815,1498,13469,6441,1879,222,744,3,1760,488,2020,776,8326,1680,35,2515,1362,36,2261,2721,1581,7115,1,,2468,205,324,14,503,50,181,326,26025,3759,313,1023,145,170,19,,35525,440,34072,1013,3754,2876,,,84,502,532,593,1016,1272,954,1674,3,,,543,2370,408,268,26,3002,13,57,123,184,892,282,27,45,3915,1104,1,0,0,0,0,0,865,3022,49,2285,409,192,223,1103,4,992,308,307,688,655,145,197,241,4,105,724,229,510,2,1,,343,67,603,11,33,303,24,5071,83,19,21,34,11,7,,,6630,144,6320,166,2011
106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,Level I - Pediatric,NO,16,9,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,190,Basic,19109,21576,1,,24679,9368,273,70,47,34,14,5,,6196,,2200,13041,15621,32,5948,172,3672,338,774,,11,,,,13,,,,39550,,,,29221,23,1768,6686,2988,27,79,27,8,949,60,582,182,6481,2465,11,2518,821,188,378,1915,870,23125,,,3456,173,63,20,244,1,25,556,31437,3583,193,401,26,477,31,,40686,1446,28459,10781,3064,3898,,,1722,75,1,,,,,,1623,3541,,453,1528,2508,1204,38,1225,6,56,14,17,5,27,1,5,6827,10,,0,0,0,0,0,3768,13,1397,1720,64,1,364,70,82,735,276,328,357,1095,123,76,266,31,16,2087,343,460,3,249,,226,38,186,31,9,222,24,5892,84,31,106,10,90,13,,,6962,235,5059,1668,2011
106010805,010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Level II,NO,18,10,2f,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,155,Basic,16266,12278,,,2414,2633,5328,4304,4265,3891,2029,1249,1830,601,,1923,5893,5942,90,564,10,14122,1009,322,,86,1,7,1,88,201,651,,26178,,,,7938,5539,680,8474,5913,822,100,534,,1316,335,1632,884,6961,1177,27,2501,676,27,1543,2900,1561,5548,,,2058,128,118,12,532,31,60,220,21349,2715,140,904,121,146,10,,28544,594,26558,1392,3521,3211,,,143,499,504,730,1102,959,979,1811,5,,,707,920,963,85,,4044,13,333,144,244,675,222,59,163,3618,1241,33,0,0,0,0,0,1134,3704,137,1094,663,95,83,1201,3,757,266,343,659,1315,119,126,199,19,388,708,118,328,1,4,,705,72,492,156,26,136,16,4542,115,43,341,54,22,8,4,,6732,312,6146,274,2011
106010844,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,,NO,14,9,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,1,,2,,2,1,3,,,,2,1,2,,1,3,,,,,2,1,,1,1,4,,0,0,0,0,0,,9,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,1,,,8,,,,,,,,,9,1,8,,2011
106010846,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,Level II,YES,16,9,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,236,Basic,33672,38202,,,608,2947,16230,13630,15068,15544,6144,1109,470,124,,5390,30993,18994,242,5649,158,10448,1806,298,,140,1,,14,100,1003,,,68379,133,,,17622,4082,34789,1836,13545,1342,165,1797,20,4022,1351,3886,1865,9445,7875,239,3859,10459,5,2367,4728,3882,14567,,,2725,153,256,31,2244,77,279,357,58688,4390,322,1756,172,218,206,,71874,3495,56976,11403,3667,4880,,,199,1072,1147,1602,2221,1415,463,427,1,,,1014,3563,1862,609,16,1436,47,251,158,184,98,398,,115,6694,546,103,0,0,0,0,0,3695,1497,94,381,2880,99,106,1144,9,1227,471,377,406,1281,201,291,213,161,627,804,435,694,,1,,352,76,408,434,61,331,34,6299,118,44,293,63,14,13,7,,8547,593,6759,1195,2011
106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611,,YES,14,9,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,341,Basic,42699,32935,7,,6981,6771,11741,10099,10326,10585,7609,4878,5429,1221,1,6880,32468,13380,234,1875,1332,19472,495,1008,2,69,52,37,55,42,14,690,9,72706,166,275,21,10450,13944,312,40670,10265,1098,526,2185,12,3334,1499,3228,1435,17638,5402,99,3825,3477,65,2663,5949,2860,20341,1,4,5595,284,642,32,963,233,331,729,55431,7829,471,2409,151,482,59,,75641,1674,69282,4685,4916,4207,1,,281,390,509,787,1203,1618,1626,2414,96,200,,1079,3567,1064,116,27,3247,24,314,74,332,754,168,11,107,6203,1161,,0,0,0,0,0,484,4955,25,3426,234,102,154,1995,11,1392,438,439,1229,890,180,219,267,14,154,841,270,503,6,20,,500,58,706,22,42,445,57,7037,151,17,24,29,25,9,2,,9124,325,8383,416,2011
106010858,010858,KAISER FND HOSP - HAYWARD/FREMONT,27400 HESPERIAN BOULEVARD,HAYWARD,94545,,NO,18,10,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,213,Basic,36781,30419,,,8167,7795,8734,8138,8531,8195,5957,4823,5558,1301,1,13194,9770,17393,229,1582,2493,22539,453,559,2,81,140,80,69,28,30,774,115,64154,511,181,23,6323,13551,582,41905,4839,1021,310,2075,14,3886,1374,3542,1249,16725,3681,151,4048,1758,60,2314,5950,2643,16398,,1,5264,252,830,36,524,48,305,718,48238,8120,299,1776,214,529,47,,67200,1915,60612,4673,4680,4280,,,206,408,459,776,1232,1537,1789,2340,68,145,,1691,980,1560,71,19,4604,35,459,66,309,1314,82,2,135,5035,1558,,0,0,0,0,0,328,5120,19,3343,150,115,126,1717,5,1564,420,512,1481,797,114,176,137,18,89,1065,181,423,2,18,,455,62,803,10,35,540,26,6776,155,9,21,46,15,5,1,1,8960,348,8251,361,2011
106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,94609,,NO,16,9,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,337,Basic,20339,13900,,,254,1390,6439,5492,5853,6356,3803,2197,2415,40,,2884,20530,2341,38,1546,263,6637,280,314,3,69,5,,23,1,,753,29,32251,313,198,,11653,7281,1164,7325,6816,866,271,979,1,1833,578,2019,793,6544,2220,43,2646,1262,1,1885,2967,1525,7803,1,2,1989,106,218,18,650,35,227,248,26720,2680,139,1001,80,120,8,,34239,1529,31903,807,4666,3916,,,32,261,468,795,1438,1614,1571,2403,,,,1562,4094,513,204,53,2141,15,64,154,276,1447,193,16,75,4408,1948,1,0,0,0,0,0,1330,4578,128,2040,506,19,237,1777,4,1113,500,479,902,700,181,224,264,13,118,1043,220,788,,,,383,114,853,16,43,449,21,6511,120,7,22,17,17,6,3,,8582,1105,7229,248,2011
106010967,010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,,NO,18,10,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,195,Basic,17033,12687,4,,4234,3239,6114,4672,3870,3206,1730,973,759,927,,2498,6127,9032,43,5773,55,6196,265,1243,112,59,10,3,1,37,292,556,5,26943,198,,,14398,3757,1192,3292,7085,1071,55,452,5,1351,384,1706,1003,5260,2303,40,1790,1396,71,1102,4123,1446,6165,1,,1706,108,175,9,428,8,75,255,23251,2691,103,662,101,130,22,,29724,1169,24469,4086,3306,2556,,,53,270,411,743,1046,1130,1045,1162,2,,,1149,929,1258,351,21,2148,6,143,145,177,309,97,1,196,3672,1118,4,0,0,0,0,0,1897,2756,21,584,604,87,85,1242,1,909,356,349,467,367,111,125,122,14,109,808,129,579,1,1,,162,45,361,9,28,117,11,4970,78,4,5,20,44,6,2,,5862,737,4582,543,2011
