oshpd_id2,oshpd_id,FACILITY_NAME,COUNTY_NAME,Cntrl_Type_Desc,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSED_BED_SIZE,RURAL_HOSPITAL_FLAG,TEACHING_HOSPITAL_FLAG,TRAUMA_CENTER_DESC,CONGRESSIONAL_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,SENATE_DISTRICT_DESC,LA_COUNTY_SPA_DESC,MSSA_NAME,MSSA_DESIGNATION,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,ER_SERVICE_LEVEL_DESC,Sex_Female,Sex_Male,Sex_Other,Sex_Unknown,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Hospice_Care,Other_Care,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Childrens_or_Cancer_Center,Critical_Access_Hospital,Not_Defined_Elsewhere,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Births,Dx_Invalid,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Other,a_Sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Congenital_anomalies,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Fire_Accidents,a_EC_Natural_Environment,a_EC_Undetermined,a_EC_War,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear,oshpd9,CONTROL_TYPE_DESC,blank
106010735,010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,General Acute Care Hospital,2070 CLINTON AVE,ALAMEDA,94501,100-149,N,N,,Fremont -- District 13,District 18,District 9,,Alameda/Jack London Square/Oakland Inner Harbor,Urban,,,Emergency - Basic,7601,5937,,,652,986,2394,2283,2025,2114,1314,809,890,71,,1450,2963,197,7,3041,166,5714,128,368,25,52,19,21,11,119,198,22,12355,220,,,,373,2788,3493,4306,2578,210,36,205,3,659,214,632,196,3432,916,6,589,793,1,703,1165,649,3129,,,1027,56,70,5,198,3,41,142,9474,1859,97,441,29,91,5,,13538,600,12671,267,1355,1224,,,20,73,134,205,334,423,483,907,,,,495,378,153,293,21,1239,,88,53,100,236,28,6,25,1233,810,,0,0,0,0,0,397,1563,12,453,154,9,59,454,381,89,150,349,194,67,49,54,6,56,376,94,192,,,,149,17,114,3,7,84,2175,14,4,1,7,4,,,,,2579,294,2215,70,2013,106010735,,
106010739,010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Non-Profit - Corporation,General Acute Care Hospital,2450 ASHBY AVENUE,BERKELEY,94705,300-499,N,N,,Fremont -- District 13,District 15,District 9,,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,,,Emergency - Basic,21425,15540,,7,567,2023,8555,6276,5015,5701,4214,2300,2095,226,,2543,13120,4310,63,2260,365,14311,228,248,46,106,13,1,104,185,1293,21,34414,187,12,12,102,9160,7719,1623,12251,6219,1905,209,1016,10,1841,621,2112,850,7994,2361,71,1919,1387,28,2978,2614,1486,7568,2,,2468,130,243,13,470,41,165,351,28171,3354,305,964,130,145,22,,36972,808,34964,1200,3344,2589,,,68,458,493,540,918,1121,977,1354,4,,,494,1999,463,175,74,2717,11,179,125,188,582,270,33,7,3573,974,2,0,0,0,0,0,929,2688,61,1889,366,219,195,1045,914,256,300,735,611,146,149,175,5,116,545,177,340,1,1,3,370,63,459,11,44,269,4550,65,10,15,40,13,1,18,5,,5933,194,5560,179,2013,106010739,Nonprofit - Corporation,
106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,Non-Profit - Corporation,General Acute Care Hospital,747 52ND STREET,OAKLAND,94609,150-199,N,N,Level I - Pediatric,Fremont -- District 13,District 15,District 9,,Oakland West Central,Urban,,,Emergency - Basic,17871,20338,1,1,23285,8938,264,86,65,34,14,3,,5521,1,2124,10786,15401,32,5972,877,3019,330,637,13,14,,2,121,2,,,37087,1,,,4,28805,27,527,5689,3163,28,206,48,42,2217,227,940,1964,7458,1384,40,2543,1465,162,358,4708,1543,12875,,3,3228,149,76,14,216,45,88,531,29678,3204,189,379,31,367,16,,38211,1345,26729,10137,3117,3900,,,1768,124,,,,,,,1427,3698,,423,1351,2526,1358,266,1090,3,51,9,17,12,27,6,8,6880,6,1,0,0,0,0,0,3984,13,1244,1654,122,,371,71,852,343,317,315,1258,84,82,225,27,26,1962,301,480,2,98,203,275,41,147,28,4,255,5882,83,32,116,19,96,,27,12,,7017,225,5208,1584,2013,106010776,Nonprofit - Corporation,
106010846,010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,General Acute Care Hospital,1411 EAST 31ST STREET,OAKLAND,94602,200-299,N,Y,Level II,Fremont -- District 13,District 18,District 9,,Oakland West Central,Urban,,Teaching,Emergency - Basic,34044,38448,,4,592,2490,15065,14247,14635,16000,7525,1288,534,120,,6500,30517,20719,316,4213,265,9966,2056,483,173,3,,3,159,945,,8,68423,243,,,,17115,5141,39539,1621,9080,1452,254,2000,20,3956,1537,3924,1917,10849,7161,289,4589,9086,10,2673,4936,3790,14053,,,2794,211,292,37,2383,265,322,393,58971,4253,296,1784,160,258,77,,72496,4420,55464,12612,3392,4946,,,179,974,1157,1535,2119,1474,495,401,4,,,1048,3392,2005,394,52,1397,50,208,228,211,84,325,2,178,6367,657,78,0,0,0,0,0,3319,1464,74,493,2988,100,97,1247,1193,488,380,484,1433,165,291,195,134,500,660,398,564,1,5,3,380,71,384,367,82,372,6034,111,56,380,45,19,6,20,11,,8338,772,6258,1308,2013,106010846,,
106010856,010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Non-Profit - Corporation,General Acute Care Hospital,280 W. MACARTHUR BOULEVARD,OAKLAND,94611,300-499,N,Y,,Fremont -- District 13,District 15,District 9,,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,,Teaching,Emergency - Basic,47714,37742,,4,8067,7372,13600,11376,10934,11358,9231,5887,6218,1417,,7393,36000,16770,332,2585,836,21544,529,794,60,70,67,72,26,16,877,14,82295,249,2,6,383,14639,17381,2128,41768,9544,1379,432,2603,17,3817,1690,3669,1743,19309,6269,144,4311,4662,51,2983,6651,2993,22732,,5,6082,337,689,50,1107,258,568,816,62454,8881,495,2848,196,598,81,,85460,1671,78438,5351,4711,3874,2,,235,464,560,639,1041,1453,1528,2287,110,270,,1023,3252,1057,107,22,3104,22,295,81,326,635,175,10,77,5825,1163,,0,0,0,0,0,582,4590,31,3142,242,305,111,1808,1299,366,367,1816,787,139,163,202,19,112,594,181,282,3,9,24,481,43,627,9,22,529,6534,166,9,37,33,36,1,40,20,,8587,256,7936,395,2013,106010856,Nonprofit - Corporation,
106010858,010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Non-Profit - Corporation,General Acute Care Hospital,27400 HESPERIAN BOULEVARD,HAYWARD,94545,200-299,N,N,,San Jose -- District 15,District 20,District 10,,San Leandro West/San Lorenzo West/Hayward West,Urban,,,Emergency - Basic,39298,32753,1,1,8556,7652,9315,8836,8658,8777,6923,5414,6511,1409,2,14076,10611,19408,242,2918,1204,23594,548,677,96,380,105,64,25,15,921,199,68128,672,4,19,200,8815,16295,1215,41315,4413,1218,350,2533,19,4388,1544,3670,1629,16509,3978,144,4326,1902,70,2663,6394,2531,18184,,1,5377,244,835,29,496,51,555,684,52475,8355,289,1881,244,491,47,,72053,2197,64738,5118,3620,3465,,,95,215,343,506,962,1321,1379,2125,43,96,,1354,719,1206,60,9,3718,19,388,76,323,1352,56,5,116,3474,1295,,0,0,0,0,0,225,4437,16,2295,112,82,91,1398,1103,261,348,1518,693,91,141,110,11,65,821,127,209,3,3,10,426,44,651,10,18,705,5003,143,11,15,21,15,,21,2,,7085,312,6467,306,2013,106010858,Nonprofit - Corporation,
106010937,010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,Non-Profit - Corporation,General Acute Care Hospital,350 HAWTHORNE AVENUE,OAKLAND,94609,300-499,N,N,,Fremont -- District 13,District 18,District 9,,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,,,Emergency - Basic,19699,13796,,,218,1159,5890,5459,5233,6052,4435,2330,2685,34,,2902,19178,2704,57,1613,378,6663,299,295,69,161,45,4,133,18,667,10,31188,484,1,9,112,11052,8692,1473,6238,6040,811,213,1063,7,1886,763,2015,717,6204,2711,67,1797,1069,,1962,3017,1475,7717,1,,1871,123,215,12,627,55,229,239,26538,2322,140,906,74,118,26,,33495,1856,30703,936,4132,3769,,,32,238,384,691,1316,1567,1468,2205,,,,1556,3540,547,202,102,1938,16,130,184,312,1006,140,22,2,4290,1815,,0,0,0,0,0,1336,4494,126,1459,486,15,210,1716,1073,475,472,937,637,145,210,183,11,89,983,144,593,,8,,345,86,519,9,45,458,6313,80,6,7,2,16,4,7,4,,7901,1128,6498,275,2013,106010937,Nonprofit - Corporation,
106010967,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit - Corporation,General Acute Care Hospital,27200 CALAROGA AVENUE,HAYWARD,94545,200-299,N,N,,San Jose -- District 15,District 20,District 10,,San Leandro West/San Lorenzo West/Hayward West,Urban,,,Emergency - Basic,17175,13013,,1,3944,2985,5706,4820,3938,3668,2248,1225,898,757,,2808,6188,11995,32,2876,124,6166,222,708,87,3,4,,15,276,571,3,28133,41,82,44,,14135,4360,2382,3078,6234,1168,85,571,8,1501,463,1655,728,5622,2319,43,1499,785,64,1490,3794,1509,6885,,,1653,38,140,11,311,11,176,279,23751,2809,54,702,44,129,81,,30189,1909,22826,5454,2418,2161,,,30,211,270,457,840,958,793,1017,3,,,1034,708,1098,146,30,1555,8,133,94,187,535,100,2,108,2413,1003,4,0,0,0,0,0,1365,2273,15,483,443,65,56,996,726,248,322,450,267,73,86,80,17,56,671,103,359,1,1,2,150,19,182,5,25,206,3875,41,1,5,16,29,1,14,10,,4579,709,3342,528,2013,106010967,Nonprofit - Corporation,
106010987,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,General Acute Care Hospital,2000 MOWRY AVENUE,FREMONT,94538,300-499,N,N,,Carmel -- District 17,District 20,District 10,,Fremont East/Niles/Union City Central,Urban,,,Emergency - Basic,23318,18840,,,6082,4049,6043,5884,5518,5172,3182,2407,2585,1232,4,5621,4489,8928,44,8575,789,13712,142,127,80,96,5,4,2,198,576,8,40515,385,2,,18,15630,8962,1631,9663,6272,1004,122,1094,10,2275,595,2215,999,8291,2411,69,2453,1524,50,2515,4539,1710,10282,,,2897,178,224,9,391,73,161,372,32771,3507,155,1038,102,266,14,,42158,2284,37846,2028,3832,3334,,,96,240,303,496,937,1285,1441,2173,71,124,,1952,470,883,773,9,3071,8,120,35,306,1197,71,3,186,3615,1632,1,0,0,0,0,0,986,4448,34,1321,377,45,111,1564,1215,300,470,713,621,118,192,129,8,50,1075,213,319,,5,18,396,48,479,4,36,508,5539,84,6,15,19,19,2,8,3,,7166,981,5952,233,2013,106010987,Public - District,
106013619,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit - Corporation,General Acute Care Hospital,13855 EAST 14TH STREET,SAN LEANDRO,94578,50-99,N,N,,Fremont -- District 13,District 18,District 9,,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,Urban,,,Emergency - Basic,13668,9523,,,1082,1771,5018,3984,3540,3701,2065,955,955,120,,1477,12365,4348,110,603,364,3924,212,528,24,10,5,1,,75,703,,21456,99,23,,55,1343,4358,10273,2733,4484,585,57,464,,1349,410,1407,582,4757,1915,33,1250,964,4,1549,2493,1165,4207,,,1290,147,214,15,573,133,133,239,17593,1844,64,728,122,89,7,,23191,486,21661,1044,1453,1181,,,14,113,150,258,470,505,414,710,,,,278,949,419,47,6,919,16,102,66,109,202,74,2,16,1606,456,1,0,0,0,0,0,548,1570,117,225,174,2,65,556,403,185,182,273,200,28,44,45,12,55,406,87,90,,1,,55,33,250,5,8,202,2004,29,1,1,11,24,,10,1,,2634,158,2299,177,2013,106013619,,
