oshpd_id2,oshpd_id,FACILITY_NAME,COUNTY_NAME,Control_Type_Desc,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSED_BED_SIZE,RURAL_HOSPITAL_FLAG,TEACHING_HOSPITAL_FLAG,TRAUMA_CENTER_DESC,ASSEMBLY_DIST,SENATE_DIST,MSSA_NAME,MSSA_DESIGNATION,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,ER_SERVICE_LEVEL_DESC,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Hospice_Care,Other_Care,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Childrens_or_Cancer_Center,Critical_Access_Hospital,Not_Defined_Elsewhere,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,Dx_All_Pregnancies,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Births,Dx_Invalid,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Other_Unk,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Digestive,a_dx_invalid,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Congenital_anomalies,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Fire_Accidents,a_EC_Natural_Environment,a_EC_Undetermined,a_EC_War,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear,CONTROL_TYPE_CATEGORY_DESC,LICENSED_BED_TOTAL,CONGRESS_DIST,EMS_STATION
106184008,184008,BANNER LASSEN MEDICAL CENTER,LASSEN,Nonprofit - Corporation,General Acute Care Hospital,1800 SPRING RIDGE DRIVE,SUSANVILLE,96130,1-49,Y,N,, 1 , 1 ,Susanville,Rural,Rural,N/A,Emergency - Basic,5466,4304,,1042,1017,1949,1330,1100,1160,822,488,598,264,,35,250,774,279,114,4,8314,661,10,9,,,2,19,,71,8,8956,34,,,,4014,1934,778,2397,647,,281,12,247,1,682,87,489,199,2766,493,11,573,288,2,454,818,318,2049,,,869,35,40,17,198,2,80,127,6639,1427,58,169,53,41,14,1,9770,1,9719,50,516,347,,24,89,98,77,128,142,106,168,6,25,,3,16,47,9,,774,14,75,5,19,38,11,1,,594,87,33,0,0,0,0,0,225,423,53,145,17,,24,12,80,167,,71,66,77,47,16,7,15,,11,164,48,56,,,2,37,3,59,2,1,30,701,8,4,4,2,4,,7,1,,863,,859,4,2014,Nonprofit,38,1,8
106250955,250955,SURPRISE VALLEY COMMUNITY HOSPITAL,MODOC,Public - District,General Acute Care Hospital,741 N. MAIN STREET,CEDARVILLE,96104,1-49,Y,N,, 1 , 1 ,Surprise Valley,Frontier,Rural,N/A,Emergency - Standby,179,161,,27,28,28,52,33,47,33,42,44,6,,,,10,56,,4,270,63,5,1,,,,,,1,,267,1,,2,,102,105,9,82,42,,1,1,23,,21,13,9,3,93,26,6,18,1,,13,32,18,62,,,27,,1,,5,,4,10,243,30,7,9,1,3,,,340,2,330,8,4,1,,,1,1,,,2,,1,,,,,,,,,5,,1,,1,,,,,2,1,,0,0,0,0,0,2,1,1,1,,,,,,,,1,,,1,,1,,,1,1,,,,,,,,,,,,4,,,,,,,1,,,5,,5,,2014,Government,26,1,1
106250956,250956,MODOC MEDICAL CENTER,MODOC,Public - District,General Acute Care Hospital,228 WEST MCDOWELL AVENUE,ALTURAS,96101,50-99,Y,N,, 1 , 1 ,Alturas/Canby,Frontier,Rural,N/A,Emergency - Standby,2151,1676,2,423,343,615,468,463,577,422,265,199,54,,28,50,245,192,66,62,3186,217,22,2,,,1,,21,5,1,3551,9,,,,1801,959,84,584,401,,111,11,140,4,321,72,152,173,896,217,6,368,61,,161,371,170,595,,,244,14,58,3,42,74,18,55,2702,471,23,73,30,20,2,,3829,2,3782,45,79,60,,2,7,8,12,22,20,31,33,2,2,,4,1,4,,,125,5,13,1,7,,3,,,97,18,,0,0,0,0,0,37,80,1,11,10,,1,1,16,10,,16,9,7,17,1,,2,1,10,33,4,11,,,,10,1,18,,3,5,94,3,,1,2,,,2,,,139,,139,,2014,Government,87,1,5
106291023,291023,SIERRA NEVADA MEMORIAL HOSPITAL,NEVADA,Nonprofit - Corporation,General Acute Care Hospital,155 GLASSON WAY,GRASS VALLEY,95945,100-149,Y,N,, 1 , 1 ,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,Rural,N/A,Emergency - Basic,14535,12527,,2362,2809,4040,3429,2955,3583,3009,2142,2306,427,,108,216,644,62,449,585,24998,495,237,36,,2,30,3,153,222,82,25692,110,,,,10554,6934,2257,4585,2732,,443,49,855,1,1598,276,1365,650,6926,1858,37,1247,832,12,1219,2334,1661,5699,,,2366,98,119,34,195,25,172,450,19419,3240,140,545,71,126,62,,27062,70,26875,117,2100,1902,,60,167,178,289,576,734,775,1179,20,24,,17,22,56,7,39,3854,7,165,51,112,358,71,64,11,2367,792,11,0,0,0,0,0,753,2492,86,571,100,,43,60,616,661,,146,246,485,521,53,80,92,1,73,603,115,201,1,1,4,308,75,491,2,57,203,2674,56,10,22,38,16,4,25,21,,4002,13,3985,4,2014,Nonprofit,104,1,18
106291053,291053,TAHOE FOREST HOSPITAL,NEVADA,Public - District,General Acute Care Hospital,10121 PINE AVE,TRUCKEE,96161,50-99,Y,N,, 1 , 1 ,North Bloomfield/North San Juan/Truckee,Rural,Rural,N/A,Emergency - Basic,5420,6027,,1157,1448,1997,1507,1417,1368,1187,761,431,174,,199,99,1637,8,250,201,9053,223,24,6,26,,,26,187,40,,10614,,10,291,,770,1675,479,7100,1354,69,177,26,313,,495,114,470,181,4656,403,21,553,527,3,324,729,321,2134,,,2163,32,51,8,75,9,57,146,6627,1552,337,274,32,79,5,,11447,36,10688,723,384,399,,21,57,61,91,113,178,118,122,2,20,,13,2,71,7,35,655,,57,7,17,65,5,7,,567,58,,0,0,0,0,0,125,356,15,239,48,,10,12,79,185,,29,22,40,187,23,15,16,2,15,116,11,21,,,,115,3,54,,4,44,498,24,12,11,8,2,,7,1,,783,,735,48,2014,Government,72,4,15
106310791,310791,SUTTER AUBURN FAITH HOSPITAL,PLACER,Nonprofit - Corporation,General Acute Care Hospital,11815 EDUCATION STREET,AUBURN,95602,50-99,N,N,, 1 , 1 ,Auburn/Newcastle/Lincoln/Sheridan,Urban,N/A,N/A,Emergency - Basic,12464,10879,1,1699,2220,3387,3081,2820,3348,2523,1832,2201,233,,138,312,1536,125,50,38,21145,327,50,40,39,10,,9,91,104,1,22673,,,,,5199,6450,995,8309,2391,,421,69,781,1,1477,308,1322,284,5790,1139,24,1474,732,5,1265,1999,1062,5191,,,2128,77,109,21,187,7,151,416,16943,2402,169,508,61,152,13,,23344,136,22668,540,1281,1232,,18,61,101,195,402,516,510,704,,6,,20,17,72,1,1,2384,18,95,22,65,324,22,18,8,1337,615,7,0,0,0,0,0,387,1673,46,345,62,,6,45,380,537,,110,142,334,241,48,61,59,1,28,358,71,89,,3,,164,31,167,2,9,114,1968,26,3,4,14,3,,6,2,,2513,13,2484,16,2014,Nonprofit,72,1,14
106320859,320859,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,PLUMAS,Public - District,General Acute Care Hospital,500 1ST STREET,PORTOLA,96122,50-99,Y,N,, 1 , 1 ,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,Rural,N/A,Emergency - Basic,2018,1480,,368,318,387,329,291,521,509,396,331,48,,20,29,254,31,,40,3124,364,47,4,,,,,2,,2,2977,2,1,99,,382,1274,71,1674,97,,55,9,202,2,255,75,194,148,932,207,9,224,55,,99,344,153,535,,,310,23,52,4,23,24,24,67,2453,386,17,65,5,35,10,,3498,6,3451,41,125,76,,1,7,13,12,23,45,44,56,,,,2,2,10,,,186,1,33,4,5,,,,,142,17,,0,0,0,0,0,37,133,,26,5,,,1,24,31,,6,15,3,11,3,2,5,4,7,57,21,11,,,,17,2,14,,1,6,151,2,,2,1,,1,1,3,,201,,201,,2014,Government,75,1,1
106320986,320986,PLUMAS DISTRICT HOSPITAL,PLUMAS,Public - District,General Acute Care Hospital,1065 BUCKS LAKE ROAD,QUINCY,95971,1-49,Y,N,, 1 , 1 ,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,Rural,N/A,Emergency - Standby,1766,1547,,284,344,456,346,347,479,457,309,233,58,,10,65,115,66,38,1,3018,150,31,3,,,1,2,14,4,12,3085,11,,,,1057,940,140,1065,111,,45,2,133,2,214,42,149,67,1050,218,9,192,92,1,162,280,116,539,,,302,8,34,6,24,6,45,73,2176,490,36,66,6,31,10,,3313,2,3308,3,128,128,,3,7,23,19,39,45,49,66,,5,,,15,2,1,2,230,6,22,1,4,1,10,,,187,30,1,0,0,0,0,0,41,166,1,44,4,,3,,24,72,,17,20,5,19,2,8,6,,12,55,7,6,,,,12,3,2,1,,2,224,3,,2,,1,,5,1,,256,5,251,,2014,Government,25,1,4
106321016,321016,SENECA HEALTHCARE DISTRICT,PLUMAS,Public - District,General Acute Care Hospital,130 BRENTWOOD DRIVE,CHESTER,96020,1-49,Y,N,Level IV, 1 , 1 ,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,Rural,N/A,Emergency - Standby,1469,1267,,249,270,242,266,313,362,362,377,250,45,,15,17,103,34,10,17,2540,43,18,4,9,,,6,8,3,40,2493,7,1,103,1,634,878,143,823,258,,18,9,134,,195,50,137,57,815,178,6,221,23,1,75,269,118,430,,,295,13,22,3,9,9,21,55,1814,385,38,43,6,19,4,,2736,5,2720,11,87,81,,2,6,6,7,16,39,43,48,,1,,1,1,3,,,161,2,7,3,9,1,,,,132,16,,0,0,0,0,0,23,117,2,23,3,,1,3,26,27,,7,27,6,8,2,1,7,1,3,36,6,7,,,,3,,6,,6,5,143,1,,1,2,,,1,,,168,,168,,2014,Government,26,1,2
106450936,450936,MAYERS MEMORIAL HOSPITAL,SHASTA,Public - District,General Acute Care Hospital,43563 STATE HWY. 299 E,FALL RIVER MILLS,96028,100-149,Y,N,, 1 , 1 ,Burney/Cassel/Fall River Mills/Hat Creek/McArthur,Frontier,Rural,N/A,Emergency - Standby,1941,1652,,380,327,424,366,389,432,419,437,331,88,,5,17,348,210,2156,14,843,72,42,5,,1,,,3,6,6,3259,11,,158,30,1302,1127,85,774,305,,113,14,174,,275,108,184,100,1023,178,8,197,93,3,121,344,160,498,,,302,19,45,6,36,4,32,76,2424,533,21,60,8,23,4,,3593,14,3448,131,150,99,,4,18,11,11,32,56,59,49,4,5,,1,,11,1,,224,12,14,,9,,1,,,161,62,2,0,0,0,0,0,48,149,2,45,5,,23,6,22,42,,17,27,11,21,5,3,3,7,2,43,3,14,,,,15,6,14,,,9,195,6,1,1,,,,,2,,249,,242,7,2014,Government,121,1,4
