oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Prison_Jail,Not_Defined_Elsewhere,Other_Invalid_Blank,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear
106010735,106010735,010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,,NO,2e,,05 - East Bay,Alameda,General Acute Care,District,General Medical / Surgical,100,Basic,8097,6376,,,966,1387,2619,2406,2408,1967,893,825,891,111,,1424,2428,531,16,3134,259,6681,335,226,34,1,22,1,13520,152,,,0,0,,182,1285,2121,2624,5718,2725,209,3,12,253,3,591,152,709,260,4078,1167,7,791,545,1,433,1349,895,3015,1197,74,58,15,206,17,16,163,9918,2019,83,485,38,174,10,,14473,1321,977,,,20,86,113,196,284,311,471,817,,,,318,295,121,1,202,16,1345,128,24,103,178,31,12,25,1155,642,,0,0,0,0,0,297,1438,456,107,,7,25,513,1,356,101,151,170,170,22,72,16,3,24,373,65,229,,,131,11,105,4,2,32,5,1971,12,1,5,13,5,1,,,2298,2005
106010739,106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,,NO,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,353,Basic,19839,15179,,,494,3378,7332,6126,6328,5203,2478,1621,1851,207,,15888,,2903,51,1787,473,13916,174,1317,46,,,,30856,145,,,0,0,,2480,7226,6548,1974,13737,5533,1363,,243,842,7,1424,395,1789,747,8214,2330,60,1358,1832,22,3271,2839,1594,6688,693,13,70,8,123,,3,119,31564,1923,78,246,63,109,6,,35018,3797,2797,,,115,460,549,750,1095,958,991,1661,15,,,456,2570,393,15,180,42,2938,141,127,271,953,311,29,15,3824,923,,0,0,0,0,0,1123,2935,2146,344,46,169,170,1361,9,954,350,372,381,633,163,236,132,7,61,802,223,556,10,5,375,65,519,19,19,11,18,5401,61,15,23,50,12,4,2,,6594,2005
106010776,106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,Level I,NO,2c,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,170,Basic,21173,23615,,,25762,10672,224,106,54,33,8,4,2,7923,,2625,18193,13644,27,5391,247,4661,319,532,17,,,,43753,,,,0,0,,167,29553,27,2303,9382,3523,8,,260,76,70,2143,353,1042,5179,8791,928,37,3727,1873,116,428,9528,2306,7923,4112,165,90,4,433,2,84,351,35733,2614,258,503,14,420,5,,44788,2916,3706,,,1470,34,3,1,,,,,1888,3226,,438,1798,2065,5,973,56,1287,56,17,17,27,12,,4,6488,1,,0,0,0,0,0,3669,7,1995,103,848,2,257,78,92,632,325,345,581,722,98,56,174,31,14,2380,309,346,4,176,216,40,104,33,6,4,36,5872,66,34,134,15,54,6,2,,6622,2005
106010805,106010805,010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Level II,NO,2f,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,155,Basic,13069,11209,,,2199,2560,4376,3792,4139,2715,1320,1180,1470,527,,1494,3857,3331,73,1006,75,14442,861,302,120,13,7,,22798,1,,,0,0,,176,4924,4171,774,10114,4295,559,,65,500,2,1010,270,1288,627,6510,1796,37,1311,915,17,1168,2406,1498,4299,1680,135,125,10,533,218,21,224,17201,2619,136,1157,54,158,7,,24278,3223,2953,,,168,566,567,808,865,672,930,1597,3,,,451,740,637,18,177,9,4144,270,105,294,495,282,14,125,3605,959,27,0,0,0,0,0,869,3119,1403,607,178,102,63,1056,2,654,239,303,292,1553,140,149,72,11,415,635,124,363,1,2,567,62,303,229,19,31,13,4138,109,46,550,83,19,6,1,,6176,2005
106010844,106010844,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,,NO,2a,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,1,,,1,,,,,,2,1,,,,,,,,1,,,,2,,,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,3,,,,,,,,,3,2005
106010846,106010846,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,Level II,YES,2c,,05 - East Bay,Alameda,General Acute Care,City and/or County,General Medical / Surgical,236,Basic,21993,28090,,,512,2747,11930,9951,11620,9110,2943,748,391,131,,2841,23174,11891,122,4996,146,6913,1216,5072,133,,,,43603,34,1,,0,0,,24,10925,2722,23181,2257,10998,590,,111,1448,21,2416,1363,2665,1022,6627,5453,150,1891,7674,12,1306,3223,3706,10405,1230,105,153,24,1643,175,196,192,42512,2249,142,1080,185,125,72,,50083,2988,4371,,,210,977,1069,1685,1789,883,417,328,1,,,785,3379,1518,8,462,1,1206,225,116,214,103,302,4,62,5894,321,118,0,0,0,0,0,2999,1141,341,2723,155,130,116,1156,9,880,400,269,357,1309,179,248,123,352,163,653,405,609,1,,305,67,337,461,78,325,37,4982,136,31,488,68,14,23,7,,7359,2005
106010856,106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,,NO,2b,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,346,Basic,19360,16773,33,,2891,3501,5415,5229,5595,5250,3152,2302,2262,568,1,1159,6855,1506,64,860,20892,4830,496,487,43,,,,34698,133,,,0,0,,309,1305,4930,3399,22806,3726,319,,138,859,9,1311,543,1301,659,11007,1968,74,1057,3061,6,1154,2256,1261,9183,714,10,7,8,296,,,65,33702,206,35,1084,10,14,15,,36166,4947,3861,1,,249,443,554,849,1298,1324,1602,2207,80,203,,844,3577,733,28,645,9,2973,339,68,328,347,26,4,74,6628,995,,0,0,0,0,0,93,4714,3560,403,39,400,136,1895,7,1192,451,606,366,798,197,308,170,22,97,939,263,947,1,14,441,44,639,21,20,4,21,7432,87,10,45,35,9,,1,,8809,2005
106010858,106010858,010858,KAISER FND HOSP - HAYWARD,27400 HESPERIAN BOULEVARD,HAYWARD,94545,,NO,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,210,Basic,17301,13225,79,,2659,2367,4157,4229,4712,3896,2628,2610,2638,708,1,2194,2321,3710,47,1055,14323,6955,541,242,39,,,,29233,55,,,0,0,,495,501,5941,722,21402,2039,387,,140,1118,2,1797,558,1532,575,4065,1482,42,971,1197,8,1302,2728,747,11954,667,5,2,8,133,,,12,29163,144,8,441,8,4,10,,30605,3196,3001,,,180,288,332,584,822,949,1272,1448,96,226,,808,673,1153,17,214,21,3311,323,54,333,358,29,1,94,3958,1046,1,0,0,0,0,0,88,3465,2533,86,25,141,61,1309,3,1046,288,316,434,584,87,202,74,21,57,1006,125,423,,20,320,62,538,7,22,75,14,5020,71,8,17,28,15,,,,6197,2005
106010937,106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,94609,,NO,2m,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,337,Basic,18026,11523,,,239,1684,5697,5062,5655,4826,2521,1876,1931,58,,20198,,1997,42,1413,350,5549,293,854,62,91,,29,27260,450,,132,0,0,,378,9357,6842,2303,7542,3505,853,2,174,740,6,1557,684,1896,771,6290,2364,67,1200,1117,2,1231,2905,1669,6021,868,28,81,5,284,1,1,100,25804,1774,37,453,9,97,7,,29549,3793,2872,,,27,249,417,786,1042,977,1256,1911,,,,1070,3269,366,7,187,46,1720,70,113,267,1052,134,13,60,3506,1447,3,0,0,0,0,0,1314,4049,909,315,78,16,132,1510,6,925,379,342,478,578,125,232,84,7,67,974,184,626,,,308,83,331,9,5,4,9,5817,47,5,12,19,12,2,2,,6665,2005
106010967,106010967,010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,,NO,2g,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,141,Basic,16617,13838,,,5064,3407,6188,4800,4178,2506,1251,876,646,1539,,2956,5676,10939,88,3877,,6919,46,282,41,,,,28835,,,,0,0,4,1247,14171,2825,1197,12262,,1053,,43,354,6,1328,447,1724,1214,6726,1417,26,2423,1787,86,891,4268,1763,4899,2049,80,192,14,571,79,4,287,22677,3286,137,792,91,181,15,,30455,2743,2063,,,68,296,373,722,829,643,856,1017,2,,,1021,749,1008,1,146,,1881,144,142,146,57,58,,146,3240,870,3,0,0,0,0,0,1387,2198,622,557,42,89,50,970,,772,271,233,325,314,100,99,60,10,36,819,106,550,2,,169,44,299,2,26,15,17,4083,61,3,12,44,17,14,,,4806,2005
