oshpd_id2,oshpd_id,FACILITY_NAME,COUNTY_NAME,CONTROL_TYPE_DESC,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSED_BED_SIZE,RURAL_HOSPITAL_FLAG,TEACHING_HOSPITAL_FLAG,TRAUMA_CENTER_DESC,CONGRESSIONAL_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,SENATE_DISTRICT_DESC,LA_COUNTY_SPA_DESC,MSSA_NAME,MSSA_DESIGNATION,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,TYPE_CONTROL_DESC,ER_SERVICE_LEVEL_DESC,Sex_Female,Sex_Male,Sex_Unknown,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Hospice_Care,Other_Care,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Childrens_or_Cancer_Center,Critical_Access_Hospital,Not_Defined_Elsewhere,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Births,Dx_Invalid,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Congenital_anomalies,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Fire_Accidents,a_EC_Natural_Environment,a_EC_Undetermined,a_EC_War,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear,oshpd9,a_Dx_Invalid
106010735,010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,General Acute Care Hospital,2070 CLINTON,ALAMEDA,94501,100-149,NA,NA,,Fremont -- District 13,District 18,District 9,,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,Urban,,,,Emergency - Basic,7722,6005,,768,1104,2458,2236,2173,1937,1322,688,965,76,,1335,3025,173,9,2762,372,6051,237,385,39,23,12,6,8,133,210,10,12462,201,1,,,549,2740,3469,4339,2630,249,41,229,,677,247,616,244,3613,864,9,716,619,1,730,1157,614,3101,,,1119,62,65,7,221,13,28,149,9573,1837,105,421,22,101,4,,13727,522,12918,287,1348,1247,,26,98,145,214,367,462,395,888,,,,470,416,170,259,20,1259,1,125,43,94,180,21,12,18,1343,759,,0,0,0,0,0,455,1533,9,461,137,10,44,496,386,128,146,361,176,42,31,46,1,30,389,96,212,,1,,126,9,100,1,13,72,2223,20,3,5,9,7,2,5,,,2595,295,2232,68,2012,106010735,
106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,2450 ASHBY STREET,BERKELEY,94705,300-499,NA,NA,,Fremont -- District 13,District 15,District 9,,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,Urban,,,Non-Profit,Emergency - Basic,20833,14509,,550,2096,8450,5937,4959,5430,3774,1998,1961,187,,2385,12662,3419,55,2523,190,14108,198,242,25,3,,9,5,,934,44,33653,156,35,,38,8613,5707,1877,12926,6219,1859,230,876,,1762,558,2071,739,7887,1953,42,2184,1312,40,2406,2689,1490,7244,,,2447,196,279,103,513,28,211,359,25993,3568,273,1050,109,206,7,,35342,534,33867,941,3438,2609,,74,528,492,600,905,1047,972,1424,5,,,488,2101,380,247,22,2803,6,81,100,182,779,290,22,47,3645,898,3,0,0,0,0,0,635,2618,46,2431,317,196,206,951,923,278,352,703,613,149,177,212,4,94,641,179,358,2,6,3,325,76,594,11,27,289,4543,68,7,16,43,14,2,22,10,,6047,167,5726,154,2012,106010739,
106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,747 52ND STREET,OAKLAND,94609,150-199,NA,NA,Level I - Pediatric,Fremont -- District 13,District 15,District 9,,OAKLAND WEST CENTRAL,Urban,,,Non-Profit,Emergency - Basic,18391,20826,1,23733,9037,275,88,31,28,6,3,1,6016,,2078,12165,15489,39,5815,322,3310,308,758,9,,,,8,,,,38135,,,,,28489,19,1785,5949,2976,29,121,29,4,1366,157,654,414,6420,2505,21,2445,1308,253,427,2528,857,19679,1,,3407,223,56,15,240,,51,547,29971,3581,209,418,19,472,9,,39218,1425,27285,10508,3050,3861,,1720,92,,,,,,,1524,3575,,415,1581,2381,1345,57,1127,5,42,15,15,7,23,1,2,6798,8,,0,0,0,0,0,3855,11,1321,1648,76,,322,49,727,290,324,319,1101,116,68,249,28,20,2159,370,479,2,72,216,225,45,217,27,6,236,5778,113,27,103,17,79,1,29,8,,6911,176,5240,1495,2012,106010776,
106010805,010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,150-199,NA,NA,Level II,San Jose -- District 15,District 20,District 10,,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,Urban,,,Non-Profit,Emergency - Basic,18119,13612,,2702,2835,5848,4964,4417,4384,2425,1493,2037,626,,2098,6645,7036,100,868,28,14956,1064,332,100,62,26,7,134,188,695,2,29049,50,,11,11,8543,6426,814,9169,6779,982,182,688,1,1599,465,1961,942,7717,1451,35,2285,834,22,1693,3121,1649,6104,,,2230,142,125,14,514,57,62,242,23717,3166,141,993,157,151,20,,31731,666,29433,1632,3248,3076,,107,429,429,656,1037,1064,910,1689,3,,,690,894,936,58,10,3721,15,281,105,291,633,224,52,123,3302,1287,26,0,0,0,0,0,1088,3518,132,1043,543,79,98,1171,701,297,395,742,1173,115,162,168,8,178,607,129,295,1,3,2,576,71,427,132,25,208,4341,111,35,300,55,13,1,24,5,,6324,302,5775,247,2012,106010805,
106010846,010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,General Acute Care Hospital,1411 EAST 31ST STREET,OAKLAND,94602,300-499,NA,Teaching,Level II,Fremont -- District 13,District 18,District 9,,OAKLAND WEST CENTRAL,Urban,,Teaching,,Emergency - Basic,34198,40004,,615,2791,16032,14367,15555,16257,6884,1108,455,138,,5450,31470,20596,248,6247,196,9995,1936,567,161,2,,18,140,1130,,1,70104,143,,,,17877,4437,35836,1640,14412,1143,210,1966,21,3893,1473,3928,1902,9809,8253,321,4218,10049,14,2866,4567,4013,15553,1,2,2551,150,232,33,2488,203,293,388,61438,4077,284,1577,172,217,99,,74202,4025,57871,12306,3708,5284,,215,1109,1220,1675,2311,1536,544,381,1,,,975,3588,2140,719,37,1505,28,216,188,180,122,355,,147,7052,625,107,0,0,0,0,0,3730,1525,74,435,3228,103,113,1206,1236,456,373,478,1505,212,329,230,266,626,746,419,683,1,10,,407,93,429,493,67,387,6423,123,54,410,52,12,4,22,16,,8992,677,7053,1262,2012,106010846,
106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,280 W. MACARTHUR BOULEVARD,OAKLAND,94611,300-499,NA,Teaching,,Fremont -- District 13,District 15,District 9,,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,Urban,,Teaching,Non-Profit,Emergency - Basic,51245,40759,17,9255,8629,14468,12246,12501,12645,9387,5661,5815,1413,1,7666,37350,17691,297,2747,5324,20946,525,1023,66,39,48,67,39,13,859,10,88783,202,,8,339,13016,16470,1788,42405,18342,1288,525,2455,26,3625,1606,3282,1523,18742,6078,110,6316,5522,51,3011,7592,3038,27225,4,2,5669,342,703,1903,1129,200,491,781,67527,9399,503,2637,165,505,67,,92021,1816,82921,7284,4468,3892,,257,385,469,745,1132,1462,1464,2091,108,247,,1015,3193,1036,87,19,2980,30,293,80,291,681,167,9,76,5815,946,2,0,0,0,0,0,445,4379,38,3277,221,147,163,1738,1350,413,353,1541,765,160,184,205,22,119,646,182,341,1,5,25,433,45,603,19,30,592,6333,146,17,22,42,24,1,39,14,,8360,316,7675,369,2012,106010856,
106010858,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,27400 HESPERIAN BOULEVARD,HAYWARD,94545,200-299,NA,NA,,San Jose -- District 15,District 20,District 10,,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,,,Non-Profit,Emergency - Basic,37792,31061,1,8238,7504,9121,8467,8290,8365,6524,5033,5995,1317,,13058,10243,18027,275,2805,1671,22775,377,665,74,224,96,61,23,25,798,166,65645,505,2,15,178,7081,15384,1107,41387,3895,1058,333,2185,18,3888,1437,3661,1388,16192,3928,106,4255,1871,67,2509,5734,2494,17729,,1,5349,260,800,36,540,52,441,688,49726,8092,272,1794,249,510,45,,68854,1943,62317,4594,4196,3977,,162,306,429,626,1085,1535,1563,2258,70,139,,1596,812,1434,61,14,4230,26,471,55,327,1234,79,4,122,4514,1366,1,0,0,0,0,0,310,4731,16,2980,136,95,125,1597,1353,318,441,1529,797,92,149,137,14,79,956,151,317,,3,20,463,61,822,10,36,690,5806,166,6,21,30,26,1,33,2,,8173,339,7509,325,2012,106010858,
106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,350 HAWTHORNE AVENUE,OAKLAND,94609,300-499,NA,NA,,Fremont -- District 13,District 18,District 9,,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,,,Non-Profit,Emergency - Basic,19432,13241,,240,1258,6154,5274,5266,6084,3893,2159,2308,37,,2676,19070,2477,50,1520,283,6597,319,305,55,1,,14,5,,750,18,30586,469,5,,146,11115,6961,1395,7249,5953,850,182,938,,1635,520,1807,722,6307,1994,41,2580,1215,1,1897,2823,1405,7753,3,,1821,158,218,18,597,19,222,243,25500,2577,131,959,97,95,18,,32673,1570,30330,773,4356,3486,,29,210,401,683,1351,1511,1406,2251,,,,1494,3648,486,166,58,1980,10,48,175,290,1289,159,30,39,4051,1760,1,0,0,0,0,0,881,4156,104,2381,320,16,205,1732,1039,443,483,862,631,159,214,218,10,88,929,152,656,,5,,358,133,753,6,29,453,5978,82,3,11,6,13,4,7,6,,7842,1031,6576,235,2012,106010937,
106010967,010967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,27200 CALAROGA AVENUE,HAYWARD,94545,200-299,NA,NA,,San Jose -- District 15,District 20,District 10,,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,,,Non-Profit,Emergency - Basic,17322,13155,2,3995,3033,5833,4964,4096,3526,2193,1143,849,847,,2604,6366,11845,44,2984,291,6345,318,1053,80,3,2,4,131,267,575,4,27793,195,54,,,14170,4314,1295,3503,7197,1027,101,494,4,1350,444,1681,984,5323,2527,26,1754,1338,49,1283,3687,1450,6957,,,1713,85,226,21,443,35,112,268,23746,2734,104,727,77,126,62,,30479,2147,22988,5344,2602,2108,,35,250,279,510,848,932,843,1011,2,,,1121,759,1145,118,67,1486,14,119,99,177,376,102,3,106,2742,983,3,0,0,0,0,0,1559,2224,21,569,337,61,74,1037,699,284,320,438,284,66,89,87,13,59,664,117,415,1,1,1,151,35,228,7,11,191,3965,46,1,3,20,25,1,13,13,,4710,811,3352,547,2012,106010967,
106010987,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,General Acute Care Hospital,2000 MOWRY AVENUE,FREMONT,94538,300-499,NA,NA,,Carmel -- District 17,District 20,District 10,,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,,,District,Emergency - Basic,23099,18614,,5778,4103,6351,6092,5610,4901,2956,2244,2409,1267,2,4593,4696,8174,52,8030,42,16126,186,275,74,35,,,,258,697,,39697,491,,,,16197,7456,1947,10189,5924,1111,108,928,2,2150,633,2140,1026,8615,2434,38,2654,1550,62,2444,4458,1681,9678,,1,2797,202,251,20,407,91,27,367,32097,3861,169,1066,125,229,4,,41713,1652,38293,1768,4019,3558,,96,231,364,593,1031,1168,1460,2423,91,120,,2226,493,945,334,2,3557,20,120,77,329,1082,71,1,168,4171,1558,,0,0,0,0,0,1061,4768,43,1335,370,56,126,1686,1386,277,478,617,601,167,195,152,6,58,1081,236,427,,6,22,423,50,599,3,28,289,5991,113,7,10,27,29,1,5,2,,7577,829,6520,228,2012,106010987,
