oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,disp_Acute_Care,disp_Against_Medical_Advice,disp_Childrens_or_Cancer,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Other,disp_Invalid_Blank,disp_Disaster_Care_Site,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_inv_Payer,dx_Certain_Perinatal_Conditions,dx_Circulatory,dx_Congenital,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health_St,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,dx_Unacceptable_principal_diagno,ED_Visit,All_Other_Languages,English,Spanish,Unknown_lang,blank_inv_lang,Zip_Blank_Invalid,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,a_Sex_Female,a_Sex_Male,a_sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_racegrp_aman,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_nhpi,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_racegrp_inv_blank,a_eth_Hispanic,a_eth_NonHispanic,a_eth_Unknown,a_eth_Blank_Invalid,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Residential_Care,a_disp_Routine,a_disp_SN_IC_Care,a_disp_Childrens_or_Cancer,a_disp_Disaster_Care_Site,a_disp_Other,a_disp_CAH,a_disp_Invalid_Blank,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_inv_Payer,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Eye,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_dx_Certain_Perinatal_Condition,a_dx_Factors_Influencing_Health_,a_dx_Pregnancy_Childbirth,a_dx_Congenital,a_dx_Unacceptable_principal_diag,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish,a_Unknown_lang,a_blank_inv_lang,a_Zip_CA_Resident,a_Zip_Homeless,a_Zip_Out_of_State,a_Zip_Unknown,a_Zip_Foreign,a_Zip_Blank_Invalid,ED_STATIONS_ON_1231
106010735,010735,ALAMEDA HOSPITAL,General Acute Care Hospital,Alameda,2070 Clinton Ave,Alameda,94501,City or County,,Emergency - Basic,,,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,5604,4750,3,255,620,1773,1971,1482,1532,1299,815,592,16,2,14,1066,2274,1057,21,2435,208,3282,,2184,7519,654,,39,178,3,11,2,2,413,56,18,1,10,9530,94,,,,,4519,2162,571,2131,974,,1,704,3,544,42,133,117,134,367,648,323,2164,622,876,21,399,119,953,425,1758,4,10357,492,9181,649,22,13,1,9931,4,293,128,,868,889,1,6,75,129,132,246,311,379,480,,,,4,332,331,174,16,276,29,596,,283,1356,119,,111,69,79,240,39,1,1,14,41,23,753,387,,,,,,409,1045,24,237,43,,302,259,28,3,82,1,114,375,140,56,30,15,57,196,51,49,,,,,,1758,234,1412,104,8,,1680,65,13,,,,12
106010739,010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,General Acute Care Hospital,Alameda,2450 Ashby Ave,Berkeley,94705,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,14018,11415,,239,1184,5209,4783,3428,3523,3106,2227,1614,120,,46,1932,8140,360,254,5043,263,9395,,4259,20792,382,,267,400,12,13,27,7,1,92,1389,4,34,23006,181,,,,,9254,5995,678,7524,1982,,17,1967,4,1451,107,248,375,249,409,1614,789,4746,2655,1672,79,946,1206,1618,877,4404,,25433,595,23355,1395,61,27,,23002,10,1813,302,306,2306,2103,,35,274,487,417,574,824,871,923,4,,,11,390,1225,49,60,680,40,1954,,623,3731,55,,136,177,121,868,106,2,1,68,84,23,2173,649,1,,,,,1091,2132,35,1033,118,,562,649,106,13,226,9,255,1018,446,108,118,119,151,204,87,100,4,5,229,,,4409,169,3985,238,7,10,4056,277,40,36,,,25
106010776,010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,General Acute Care Hospital,Alameda,747 52nd St,Oakland,94609,Non-profit Corporation (incl. Church-related),Level I - Pediatric,Emergency - Basic,,Teaching,200-299,District 9,District 15,Oakland West Central,Urban,10974,11721,3,12303,6659,423,81,35,50,17,3,,3124,3,22,1398,5126,944,151,12276,185,2595,1,10998,11546,153,1,239,179,1,8,3,6,,9,106,5,3,22132,2,4,1,,,16854,97,152,3977,1618,,166,304,31,1740,250,835,66,391,747,810,1122,4854,383,818,41,657,36,3468,965,5000,14,22698,906,15536,6091,21,144,,22538,,71,82,7,2069,2387,1,1575,111,,,,,,,895,1876,,10,328,778,204,34,2172,29,902,,1882,2545,30,,36,15,13,6,,,2,34,23,1,4323,2,,1,1,,,2283,10,937,1151,76,,36,651,223,8,226,22,195,262,950,72,126,97,231,739,175,203,134,38,,68,1,4457,156,3327,953,2,19,4398,22,37,,,,40
106010846,010846,HIGHLAND HOSPITAL,General Acute Care Hospital,Alameda,1411 E 31st St,Oakland,94602,City or County,Level I,Emergency - Basic,,,200-299,District 9,District 18,Oakland West Central,Urban,27705,33012,46,777,2868,11849,12883,10434,10495,7375,2654,1270,156,2,176,3867,25810,3223,393,19803,163,7327,1,18691,41532,540,,322,2016,22,170,21,12,2144,580,556,8,41,54680,191,,,,,35432,8574,4603,3612,8542,,13,3349,7,3902,199,699,946,748,3653,3335,2429,11287,5064,5033,147,2618,1241,4231,2563,9290,9,60763,2567,46439,11388,63,306,1,55706,15,4672,369,,3929,5706,6,135,863,1236,1400,1904,2052,1164,870,12,,5,31,881,3588,681,71,2655,51,1683,,2528,6976,137,,337,566,351,757,127,22,58,141,326,75,5546,1335,,,,,,5025,3177,123,689,627,,1255,1182,108,24,557,18,430,1466,2148,402,169,230,310,708,278,214,12,14,109,3,4,9641,628,7233,1692,31,57,8591,1004,43,2,1,,54
106010937,010937,ALTA BATES SUMMIT MEDICAL CENTER,General Acute Care Hospital,Alameda,350 Hawthorne Ave,Oakland,94609,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,13912,12770,,101,638,3871,4603,3640,4436,4060,2895,2416,22,,47,2755,13468,261,319,3612,188,6032,,3043,23351,288,,623,545,3,88,56,15,17,13,918,12,80,23885,426,1,,,,11122,7891,778,4981,1910,,2,2645,7,1527,161,239,528,234,381,1645,872,4582,2130,2086,117,1251,502,1893,1070,4808,2,26682,1862,23753,916,64,87,,23446,18,2522,192,504,3762,4109,,17,232,456,668,1112,1663,1790,1933,,,,33,1290,3376,61,130,860,37,2084,,785,7019,67,,188,289,348,1746,276,6,1,10,205,41,3359,1401,,,,1,,2016,4297,207,1226,125,,1744,922,233,21,390,11,478,1843,612,89,110,235,331,526,80,220,,12,10,4,,7871,1000,6433,371,14,53,7284,520,16,51,,,30
106010967,010967,ST. ROSE HOSPITAL,General Acute Care Hospital,Alameda,27200 Calaroga Ave,Hayward,94545,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,9397,9023,4,1062,1532,3225,3383,2814,2613,2007,993,606,189,,42,2064,2956,267,675,8675,337,3408,,8403,9937,84,,245,,9,101,7,,43,163,347,3,12,17247,246,,,1,,9265,2877,2085,2030,2167,,11,1205,1,1277,39,399,404,177,247,1162,656,3652,1271,1181,33,731,555,1799,860,2764,,18424,982,13269,4172,,1,,17337,4,869,106,108,1426,1686,,11,125,211,293,556,704,608,604,,,,10,625,494,26,170,903,24,860,,863,2231,18,,172,99,219,440,80,,1,21,9,52,1471,547,,,,,1,1251,1434,69,274,84,,742,470,26,2,222,2,200,608,159,50,29,33,82,339,69,63,,4,11,1,,3112,426,2242,443,,1,2974,113,17,6,2,,17
106010987,010987,WASHINGTON HOSPITAL - FREMONT,General Acute Care Hospital,Alameda,2000 Mowry Ave,Fremont,94538,District,,Emergency - Basic,,,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,25891,24092,3,2591,3035,7236,8419,6396,7209,6465,4642,3484,503,6,137,15579,4171,916,458,14084,848,13786,7,10202,38988,766,30,116,,49,93,238,11,22,228,609,6,2,48229,373,7,2,1,,14700,13628,1024,15722,4912,,45,2885,7,2064,109,498,540,291,14050,2034,2424,6079,2291,2262,144,1491,685,4517,1061,6499,10,49986,3084,44558,1931,192,221,1,47814,100,1457,458,156,3481,3322,,32,146,298,465,899,1412,1420,2054,44,33,,16,2201,396,127,71,1479,150,2363,,1002,5747,54,,113,,362,1827,155,,,19,64,2,3196,1063,1,,1,,,1453,3997,24,1217,57,55,1528,1014,42,13,439,6,534,950,545,66,139,239,176,715,219,102,24,5,39,6,2,6803,1056,5353,325,16,53,6640,106,29,9,19,,39
106014050,014050,STANFORD HEALTH CARE - VALLEYCARE,General Acute Care Hospital,Alameda,5555 W Las Positas Blvd,Pleasanton,94588,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 7,District 16,Dublin/Pleasanton/Santa Rita/Sunol,Urban,11090,10367,2,1412,1711,2979,3370,2933,3158,2192,1817,1607,280,,51,3153,1761,425,76,5208,89,10696,,3934,17390,135,,481,,12,63,129,11,38,614,655,3,,19319,134,,,,,5400,4307,925,8437,2390,,31,1982,1,1304,104,346,349,164,583,1352,685,4738,1424,1148,76,867,488,1613,588,3595,21,21459,636,19810,1012,1,,,20356,15,799,289,,1735,1932,,16,101,203,258,464,657,890,1050,19,9,,1,517,182,69,17,594,26,2261,,421,3209,37,,154,,219,886,125,,22,15,42,,1483,717,,,4,,,480,2149,206,701,131,,775,558,27,3,175,1,245,784,335,52,63,100,80,338,58,34,14,,22,3,,3667,230,3303,134,,,3547,90,28,,2,,18
106014132,014132,KAISER FOUNDATION HOSPITAL - FREMONT,General Acute Care Hospital,Alameda,39400 Paseo Padre Pkwy,Fremont,94538,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 10,District 25,Fremont East/Niles/Union City Central,Urban,14063,13150,2,1686,1812,3767,4260,3367,3612,3142,2743,2474,352,,107,8380,2455,337,313,6252,765,8606,,6250,20139,826,,215,462,3,62,526,49,152,7,512,4,,25043,180,,,,,3256,6532,570,15567,1289,1,25,2884,6,1498,114,315,507,325,579,1488,857,5273,1413,1717,45,1399,492,1656,698,5920,4,27215,1422,24489,1237,2,65,10,26649,1,474,80,1,1664,1683,,9,96,174,187,441,612,838,990,,,,6,932,220,17,36,531,36,1569,,527,2798,22,,137,27,151,1208,126,18,,22,15,1,1291,346,,,5,,,162,2129,15,995,46,,526,441,58,3,140,6,170,1137,257,74,36,50,75,207,62,93,,1,11,,,3347,250,2948,142,1,6,3301,34,12,,,,16
106014233,014233,EDEN MEDICAL CENTER,General Acute Care Hospital,Alameda,20103 Lake Chabot Rd,Castro Valley,94546,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,100-149,District 10,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,14880,12646,,1382,1770,4542,4672,3510,3944,3436,2065,1899,306,,82,2367,5778,533,1040,5220,127,12379,,8263,19098,165,,497,299,36,62,30,16,29,129,681,21,113,25099,513,1,,,,11292,5915,849,7222,2248,,11,1777,3,1595,115,306,356,247,447,1767,882,5520,1536,2086,73,1215,802,2369,1074,5337,8,27526,947,24429,2094,41,15,,25997,,1062,174,293,3242,3435,,70,353,501,612,975,1354,1307,1503,2,,,11,791,1174,92,340,982,21,3266,,1306,5335,36,,384,146,325,1258,316,4,15,42,195,41,2490,1461,,,,,,1657,3280,149,1420,171,,1139,759,112,9,321,5,341,1505,1286,115,79,217,204,327,70,131,2,4,51,,,6677,503,5712,443,17,2,6380,220,42,34,,1,22
