"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2405_C01_001E","Estimate!!Total!!Civilian employed population 16 years and over"
"S2405_C01_001M","Margin of Error!!Total!!Civilian employed population 16 years and over"
"S2405_C01_002E","Estimate!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C01_002M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C01_003E","Estimate!!Total!!Civilian employed population 16 years and over!!Construction"
"S2405_C01_003M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Construction"
"S2405_C01_004E","Estimate!!Total!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C01_004M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C01_005E","Estimate!!Total!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C01_005M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C01_006E","Estimate!!Total!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C01_006M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C01_007E","Estimate!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C01_007M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C01_008E","Estimate!!Total!!Civilian employed population 16 years and over!!Information"
"S2405_C01_008M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Information"
"S2405_C01_009E","Estimate!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C01_009M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C01_010E","Estimate!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C01_010M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C01_011E","Estimate!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C01_011M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C01_012E","Estimate!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C01_012M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C01_013E","Estimate!!Total!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C01_013M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C01_014E","Estimate!!Total!!Civilian employed population 16 years and over!!Public administration"
"S2405_C01_014M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Public administration"
"S2405_C01_015E","Estimate!!Total!!PERCENT ALLOCATED!!Industry"
"S2405_C01_015M","Margin of Error!!Total!!PERCENT ALLOCATED!!Industry"
"S2405_C02_001E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over"
"S2405_C02_001M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over"
"S2405_C02_002E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C02_002M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C02_003E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C02_003M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C02_004E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C02_004M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C02_005E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C02_005M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C02_006E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Retail trade"
