Year,LocationID,MeasureId,Measure,Data_Value,TotalPopulation,Geolocation
2021,90001,STROKE,Stroke among adults aged >=18 years,3.2,57110,POINT (-118.249509 33.9740273)
2021,90001,CASTHMA,Current asthma among adults aged >=18 years,11.3,57110,POINT (-118.249509 33.9740273)
2021,90001,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.4,57110,POINT (-118.249509 33.9740273)
2021,90001,OBESITY,Obesity among adults aged >=18 years,37.2,57110,POINT (-118.249509 33.9740273)
2021,90002,CASTHMA,Current asthma among adults aged >=18 years,12.0,51223,POINT (-118.2467372 33.94909877)
2021,90002,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.8,51223,POINT (-118.2467372 33.94909877)
2021,90002,OBESITY,Obesity among adults aged >=18 years,38.0,51223,POINT (-118.2467372 33.94909877)
2021,90002,STROKE,Stroke among adults aged >=18 years,3.6,51223,POINT (-118.2467372 33.94909877)
2021,90003,CASTHMA,Current asthma among adults aged >=18 years,11.9,66266,POINT (-118.273719 33.96413597)
2021,90003,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.7,66266,POINT (-118.273719 33.96413597)
2021,90003,OBESITY,Obesity among adults aged >=18 years,38.5,66266,POINT (-118.273719 33.96413597)
2021,90003,STROKE,Stroke among adults aged >=18 years,3.5,66266,POINT (-118.273719 33.96413597)
2021,90004,CASTHMA,Current asthma among adults aged >=18 years,9.0,62180,POINT (-118.3107224 34.07619734)
2021,90004,DIABETES,Diagnosed diabetes among adults aged >=18 years,11.7,62180,POINT (-118.3107224 34.07619734)
2021,90004,OBESITY,Obesity among adults aged >=18 years,27.2,62180,POINT (-118.3107224 34.07619734)
2021,90004,STROKE,Stroke among adults aged >=18 years,2.4,62180,POINT (-118.3107224 34.07619734)
2021,90005,CASTHMA,Current asthma among adults aged >=18 years,9.0,37681,POINT (-118.3102305 34.05826127)
2021,90005,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.1,37681,POINT (-118.3102305 34.05826127)
