Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,90001,,,97.0,87.0,43.0,11.0,236.0,,21.0,16.0,13.0,,,74.0,,,,40.0,,0.0
2005,90002,,0.0,125.0,114.0,43.0,14.0,288.0,,35.0,19.0,,,,74.0,,,,50.0,,
2005,90003,16.0,,129.0,118.0,42.0,11.0,317.0,,25.0,21.0,,12.0,17.0,90.0,,,,59.0,,
2005,90004,,,71.0,119.0,73.0,11.0,283.0,,,19.0,,,,79.0,,,,70.0,,0.0
2005,90005,,0.0,38.0,77.0,41.0,,173.0,,,,,,,50.0,,,,39.0,,
2005,90006,,,82.0,85.0,45.0,14.0,236.0,0.0,,15.0,,,15.0,75.0,,,,45.0,,0.0
2005,90007,0.0,0.0,36.0,58.0,21.0,,131.0,,,,,,,39.0,,,,26.0,,0.0
2005,90008,0.0,,77.0,125.0,101.0,,331.0,,,18.0,0.0,17.0,15.0,104.0,11.0,,,76.0,,
2005,90010,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0
2005,90011,14.0,,175.0,131.0,62.0,20.0,386.0,,30.0,18.0,,,31.0,99.0,11.0,14.0,,76.0,,0.0
2005,90012,0.0,,16.0,97.0,58.0,,195.0,,,,,12.0,11.0,45.0,,11.0,,58.0,,
2005,90013,0.0,0.0,52.0,29.0,,,98.0,0.0,0.0,0.0,0.0,,,29.0,,0.0,,24.0,,0.0
2005,90014,0.0,0.0,20.0,27.0,12.0,,74.0,0.0,,,,,,28.0,,,,12.0,,0.0
2005,90015,0.0,0.0,,15.0,,,52.0,0.0,,,0.0,,,15.0,,,0.0,,0.0,0.0
2005,90016,0.0,,102.0,154.0,91.0,11.0,360.0,,11.0,32.0,,,18.0,111.0,,14.0,,67.0,,
2005,90017,,,26.0,48.0,,,106.0,,,,,,,34.0,,,,18.0,,
2005,90018,,0.0,105.0,157.0,111.0,,390.0,,16.0,25.0,,17.0,18.0,119.0,,25.0,,85.0,,0.0
2005,90019,0.0,,113.0,169.0,109.0,17.0,412.0,16.0,,20.0,,19.0,15.0,128.0,,22.0,,91.0,,
2005,90020,0.0,,37.0,66.0,39.0,,165.0,,,,,,,46.0,,11.0,,38.0,0.0,0.0
2005,90021,0.0,0.0,0.0,,,,23.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0
2005,90022,,,91.0,157.0,86.0,16.0,356.0,,,24.0,13.0,,26.0,100.0,,13.0,,73.0,,0.0
2005,90023,,,73.0,96.0,55.0,,236.0,,11.0,,,,11.0,61.0,,,,48.0,,
2005,90024,0.0,0.0,14.0,103.0,122.0,,249.0,13.0,0.0,15.0,,,,82.0,,16.0,,59.0,,
2005,90025,0.0,,20.0,105.0,95.0,,244.0,,0.0,20.0,0.0,,,63.0,,13.0,,70.0,,
2005,90026,0.0,,117.0,156.0,96.0,19.0,393.0,,,31.0,,16.0,17.0,114.0,,19.0,,61.0,,
2005,90027,0.0,,64.0,162.0,111.0,13.0,345.0,,,23.0,,16.0,18.0,113.0,,16.0,,80.0,,
2005,90028,0.0,,54.0,90.0,39.0,11.0,191.0,,,11.0,,,,63.0,,,,37.0,0.0,
2005,90029,0.0,,72.0,108.0,63.0,,256.0,,,11.0,,18.0,,79.0,,17.0,,41.0,,
2005,90031,0.0,0.0,52.0,110.0,72.0,,248.0,,,19.0,,,16.0,76.0,,15.0,,55.0,,
2005,90032,,,85.0,105.0,62.0,13.0,274.0,,,16.0,,13.0,,67.0,,14.0,,72.0,,0.0
2005,90033,0.0,0.0,71.0,107.0,66.0,12.0,268.0,,,23.0,,,17.0,67.0,,20.0,,44.0,,
2005,90034,0.0,0.0,40.0,71.0,77.0,,215.0,,,16.0,,,,65.0,,12.0,,54.0,,
2005,90035,0.0,,40.0,94.0,136.0,,281.0,18.0,,23.0,,,11.0,77.0,,11.0,,76.0,,
2005,90036,0.0,0.0,40.0,84.0,104.0,,240.0,,,15.0,,,,83.0,,14.0,,50.0,,
2005,90037,13.0,,154.0,121.0,70.0,19.0,361.0,,19.0,29.0,,20.0,16.0,90.0,,,0.0,70.0,,
2005,90038,0.0,,27.0,45.0,36.0,,128.0,,,,,,,41.0,,,,28.0,,0.0
2005,90039,0.0,0.0,32.0,95.0,60.0,,204.0,,,12.0,,,,62.0,,,,52.0,,
2005,90040,0.0,0.0,0.0,42.0,15.0,,75.0,0.0,0.0,,,,,21.0,,,0.0,16.0,,
2005,90041,0.0,,38.0,95.0,83.0,,226.0,13.0,,,,15.0,14.0,68.0,,13.0,,47.0,,
2005,90042,0.0,0.0,92.0,126.0,68.0,13.0,297.0,,,15.0,,,,95.0,,11.0,,75.0,,
2005,90043,0.0,,141.0,188.0,84.0,14.0,425.0,,12.0,25.0,,18.0,23.0,147.0,,,,92.0,,0.0
2005,90044,13.0,,245.0,263.0,74.0,26.0,604.0,,34.0,40.0,15.0,36.0,34.0,162.0,,17.0,,128.0,,
